dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,classification,axis_additive,443,0,0,1,0.8377581238746643,0.0,2.2751410007476807,0.432996541261673,0.9191575050354004
cifar10,classification,axis_additive,443,0,0,2,-0.8377581238746643,0.0,2.2751410007476807,0.432996541261673,-0.9191575050354004
cifar10,classification,axis_additive,443,0,0,3,0.0,0.41887906193733215,0.18082855641841888,0.0344146303832531,0.11169200390577316
cifar10,classification,axis_additive,443,0,0,4,0.0,-0.41887906193733215,0.18082855641841888,0.0344146303832531,-0.11169200390577316
cifar10,classification,axis_additive,443,0,0,5,-0.41887906193733215,0.0,0.09120099991559982,0.01735704205930233,2.6768648624420166
cifar10,classification,axis_additive,443,0,0,6,0.41887906193733215,0.0,0.09120099991559982,0.01735704205930233,-2.6768648624420166
cifar10,classification,axis_additive,443,0,0,7,0.0,-0.8377581238746643,0.03455139696598053,0.00657569570466876,2.9252960681915283
cifar10,classification,axis_additive,443,0,0,8,0.0,0.8377581238746643,0.03455139696598053,0.00657569570466876,-2.9252960681915283
cifar10,classification,axis_additive,443,0,1,1,0.0,0.41887906193733215,0.38134482502937317,0.25212743878364563,0.1537063866853714
cifar10,classification,axis_additive,443,0,1,2,0.0,-0.41887906193733215,0.38134482502937317,0.25212743878364563,-0.1537063866853714
cifar10,classification,axis_additive,443,0,1,3,-0.8377581238746643,0.0,0.280010461807251,0.18512988090515137,0.509294867515564
cifar10,classification,axis_additive,443,0,1,4,0.8377581238746643,0.0,0.280010461807251,0.18512988090515137,-0.509294867515564
cifar10,classification,axis_additive,443,0,1,5,0.0,0.8377581238746643,0.07132918387651443,0.04715953767299652,-2.839047431945801
cifar10,classification,axis_additive,443,0,1,6,0.0,-0.8377581238746643,0.07132918387651443,0.04715953767299652,2.839047431945801
cifar10,classification,axis_additive,443,0,1,7,0.41887906193733215,0.0,0.006895788479596376,0.00455917464569211,2.7833428382873535
cifar10,classification,axis_additive,443,0,1,8,-0.41887906193733215,0.0,0.006895788479596376,0.00455917464569211,-2.7833428382873535
cifar10,classification,axis_additive,443,0,2,1,0.0,0.41887906193733215,0.58902907371521,0.19328005611896515,0.8542364239692688
cifar10,classification,axis_additive,443,0,2,2,0.0,-0.41887906193733215,0.58902907371521,0.19328005611896515,-0.8542364239692688
cifar10,classification,axis_additive,443,0,2,3,0.8377581238746643,0.0,0.5663355588912964,0.18583355844020844,0.3834874629974365
cifar10,classification,axis_additive,443,0,2,4,-0.8377581238746643,0.0,0.5663355588912964,0.18583355844020844,-0.3834874629974365
cifar10,classification,axis_additive,443,0,2,5,0.0,-0.8377581238746643,0.24245117604732513,0.07955630868673325,1.7175549268722534
cifar10,classification,axis_additive,443,0,2,6,0.0,0.8377581238746643,0.24245117604732513,0.07955630868673325,-1.7175549268722534
cifar10,classification,axis_additive,443,0,2,7,0.0,1.2566372156143188,0.041819747537374496,0.013722452335059643,-1.313489317893982
cifar10,classification,axis_additive,443,0,2,8,0.0,-1.2566372156143188,0.041819747537374496,0.013722452335059643,1.313489317893982
cifar10,classification,axis_additive,443,0,3,1,0.8377581238746643,0.0,1.7848389148712158,0.3803592622280121,0.03360891342163086
cifar10,classification,axis_additive,443,0,3,2,-0.8377581238746643,0.0,1.7848389148712158,0.3803592622280121,-0.03360891342163086
