dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,classification,no_pos_constant,526,0,0,1,0.0,0.41887906193733215,1.0877443666636096e-18,1.0877444083234877e-06,-2.9321532249450684
cifar10,classification,no_pos_constant,526,0,0,2,0.0,-0.41887906193733215,1.0877443666636096e-18,1.0877444083234877e-06,2.9321532249450684
cifar10,classification,no_pos_constant,526,0,0,3,0.41887906193733215,0.0,1.0877443666636096e-18,1.0877444083234877e-06,-2.9321532249450684
cifar10,classification,no_pos_constant,526,0,0,4,-0.41887906193733215,0.0,1.0877443666636096e-18,1.0877444083234877e-06,2.9321532249450684
cifar10,classification,no_pos_constant,526,0,0,5,-0.41887906193733215,0.8377581238746643,5.960178042435125e-19,5.960177986708004e-07,0.20943954586982727
cifar10,classification,no_pos_constant,526,0,0,6,0.41887906193733215,-0.8377581238746643,5.960178042435125e-19,5.960177986708004e-07,-0.20943954586982727
cifar10,classification,no_pos_constant,526,0,0,7,0.8377581238746643,0.41887906193733215,5.960178042435125e-19,5.960177986708004e-07,0.6283184885978699
cifar10,classification,no_pos_constant,526,0,0,8,-0.8377581238746643,-0.41887906193733215,5.960178042435125e-19,5.960177986708004e-07,-0.6283184885978699
cifar10,classification,no_pos_constant,526,0,1,1,-0.41887906193733215,-0.41887906193733215,3.7436397226115077e-16,0.00037436396814882755,-0.41887903213500977
cifar10,classification,no_pos_constant,526,0,1,2,0.41887906193733215,0.41887906193733215,3.7436397226115077e-16,0.00037436396814882755,0.41887903213500977
cifar10,classification,no_pos_constant,526,0,1,3,0.41887906193733215,-0.41887906193733215,3.7436397226115077e-16,0.00037436396814882755,1.721410569643922e-08
cifar10,classification,no_pos_constant,526,0,1,4,-0.41887906193733215,0.41887906193733215,3.7436397226115077e-16,0.00037436396814882755,-1.721410569643922e-08
cifar10,classification,no_pos_constant,526,0,1,5,-0.8377581238746643,0.0,2.610107939464689e-16,0.000261010805843398,-0.41887903213500977
cifar10,classification,no_pos_constant,526,0,1,6,0.0,-0.8377581238746643,2.610107939464689e-16,0.000261010805843398,-0.4188790023326874
cifar10,classification,no_pos_constant,526,0,1,7,0.8377581238746643,0.0,2.610107939464689e-16,0.000261010805843398,0.41887903213500977
cifar10,classification,no_pos_constant,526,0,1,8,0.0,0.8377581238746643,2.610107939464689e-16,0.000261010805843398,0.4188790023326874
cifar10,classification,no_pos_constant,526,0,2,1,0.0,0.41887906193733215,1.509502179862217e-16,0.0001509502180851996,-2.9321532249450684
