dataset,task,basis,seed,layer,head,gauge,boundary,bias_mean,bias_std,bias_norm,E_xx,E_yy,E_xy,E_lap,mixed_ratio,E_axial,E_obl,obl_ratio,dc_mass_ratio,spectral_entropy,topk_spectral_mass,topk_dct_mass,diagonal_atom_ratio,low_radial_mass,mid_radial_mass,high_radial_mass,even_spectral_mass,odd_spectral_mass,complex_pair_consistency
cifar10,classification,no_pos_constant,626,0,0,raw,interior_only,-0.000303924607578665,5.7687937760064756e-11,0.004558869171887636,3.1509625637859973e-19,3.1509625637859973e-19,4.616329562535937e-20,1.0842021724855044e-18,4.6163297184875773e-08,2.078328725474421e-05,5.861467994999758e-19,2.8202793765186134e-14,4.960563819622621e-05,0.0002758525079116225,4.414125578477979e-05,3.8189688211787143e-07,6.952784315217286e-05,9.892808157019317e-05,1.5303105101338588e-05,4.6380287130887154e-06,7.487771540581889e-07,0.0,0.3698500394821167
cifar10,classification,no_pos_constant,626,0,0,raw,reflect_padding,-0.000303924607578665,5.7687937760064756e-11,0.004558869171887636,3.6253010142484055e-19,3.6253010142484055e-19,4.616329562535937e-20,1.179069862577986e-18,4.6163297184875773e-08,2.078328725474421e-05,5.861467994999758e-19,2.8202793765186134e-14,4.960563819622621e-05,0.0002758525079116225,4.414125578477979e-05,3.8189688211787143e-07,6.952784315217286e-05,9.892808157019317e-05,1.5303105101338588e-05,4.6380287130887154e-06,7.487771540581889e-07,0.0,0.3698500394821167
cifar10,classification,no_pos_constant,626,0,0,centered,interior_only,-3.1302786751563616e-11,4.8456516577033426e-11,8.65319094156547e-10,3.1509625637859973e-19,3.1509625637859973e-19,4.616329562535937e-20,1.0842021724855044e-18,4.6163297184875773e-08,4.397644205080113e-19,3.0901267901539606e-19,3.0901267678018485e-07,9.750020531662872e-20,0.0002758525079116225,4.414125578477979e-05,3.8189691053958086e-07,6.952784315217286e-05,9.892808157019317e-05,1.5303103282349184e-05,4.6380287130887154e-06,5.283075665829529e-07,0.0,-0.16987526416778564
cifar10,classification,no_pos_constant,626,0,0,centered,reflect_padding,-3.1302786751563616e-11,4.8456516577033426e-11,8.65319094156547e-10,3.6253010142484055e-19,3.6253010142484055e-19,4.616329562535937e-20,1.179069862577986e-18,4.6163297184875773e-08,4.397644205080113e-19,3.0901267901539606e-19,3.0901267678018485e-07,9.750020531662872e-20,0.0002758525079116225,4.414125578477979e-05,3.8189691053958086e-07,6.952784315217286e-05,9.892808157019317e-05,1.5303103282349184e-05,4.6380287130887154e-06,5.283075665829529e-07,0.0,-0.16987526416778564
cifar10,classification,no_pos_constant,626,0,0,normalized,interior_only,-0.036174848675727844,0.055998437106609344,1.0,0.42081448435783386,0.4208144545555115,0.06165159121155739,1.4479637145996094,0.06825298815965652,0.5873101353645325,0.41268977522850037,0.41268977522850037,1.3986961090292675e-16,0.6506316065788269,0.3713430166244507,0.7228685021400452,0.5849103927612305,0.832243025302887,0.12873898446559906,0.03901790827512741,1.0,0.0,-0.1698753833770752
cifar10,classification,no_pos_constant,626,0,0,normalized,reflect_padding,-0.036174848675727844,0.055998437106609344,1.0,0.4841628968715668,0.4841628968715668,0.06165158003568649,1.5746605396270752,0.05985721945762634,0.5873101353645325,0.41268977522850037,0.41268977522850037,1.3986961090292675e-16,0.6506316065788269,0.3713430166244507,0.7228685021400452,0.5849103927612305,0.832243025302887,0.12873898446559906,0.03901790827512741,1.0,0.0,-0.1698753833770752
cifar10,classification,no_pos_constant,626,0,1,raw,interior_only,0.0005414738552644849,1.0332656952272146e-10,0.00812210701406002,6.572975670693371e-19,6.572975670693371e-19,8.300922883092143e-20,2.019326546254252e-18,8.300922615944728e-08,6.596861203433946e-05,1.3992984288641042e-18,2.121157185986343e-14,1.2607238204509486e-05,0.0010278186528012156,0.0002730375272221863,1.9643832729343558e-06,0.00022346762125380337,0.0005000130622647703,1.8947079297504388e-05,8.924390385800507e-06,2.4021853732847376e-06,0.0,-0.2206026315689087
cifar10,classification,no_pos_constant,626,0,1,raw,reflect_padding,0.0005414738552644849,1.0332656952272146e-10,0.00812210701406002,6.572975670693371e-19,6.572975670693371e-19,8.300922883092143e-20,2.019326546254252e-18,8.300922615944728e-08,6.596861203433946e-05,1.3992984288641042e-18,2.121157185986343e-14,1.2607238204509486e-05,0.0010278186528012156,0.0002730375272221863,1.9643832729343558e-06,0.00022346762125380337,0.0005000130622647703,1.8947079297504388e-05,8.924390385800507e-06,2.4021853732847376e-06,0.0,-0.2206026315689087
cifar10,classification,no_pos_constant,626,0,1,centered,interior_only,-1.578074303176802e-11,1.0211438639107229e-10,1.5498985428408218e-09,6.572975670693371e-19,6.572975670693371e-19,8.300922883092143e-20,2.019326546254252e-18,8.300922615944728e-08,1.4089960875705227e-18,9.931894542402496e-19,9.931894737746916e-07,1.5099290278057611e-19,0.0010278185363858938,0.0002730374690145254,1.9643835003080312e-06,0.00022346759214997292,0.0005000130040571094,1.8947079297504388e-05,8.924390385800507e-06,2.346153223697911e-06,0.0,0.21564573049545288
cifar10,classification,no_pos_constant,626,0,1,centered,reflect_padding,-1.578074303176802e-11,1.0211438639107229e-10,1.5498985428408218e-09,6.572975670693371e-19,6.572975670693371e-19,8.300922883092143e-20,2.019326546254252e-18,8.300922615944728e-08,1.4089960875705227e-18,9.931894542402496e-19,9.931894737746916e-07,1.5099290278057611e-19,0.0010278185363858938,0.0002730374690145254,1.9643835003080312e-06,0.00022346759214997292,0.0005000130040571094,1.8947079297504388e-05,8.924390385800507e-06,2.346153223697911e-06,0.0,0.21564573049545288
