dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,0,1,1.6755162477493286,2.094395160675049,0.12778329849243164,0.018819862976670265,-2.672633171081543
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,0,2,-1.6755162477493286,-2.094395160675049,0.12778329849243164,0.018819862976670265,2.672633171081543
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,0,3,0.8377581238746643,0.41887906193733215,0.12370429933071136,0.018219109624624252,-0.10762638598680496
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,0,4,-0.8377581238746643,-0.41887906193733215,0.12370429933071136,0.018219109624624252,0.10762638598680496
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,0,5,-2.9321534633636475,1.2566372156143188,0.11200921982526779,0.01649666391313076,-1.6775788068771362
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,0,6,2.9321534633636475,-1.2566372156143188,0.11200921982526779,0.01649666391313076,1.6775788068771362
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,0,7,2.9321534633636475,-0.8377581238746643,0.09431643038988113,0.013890879228711128,1.9929301738739014
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,0,8,-2.9321534633636475,0.8377581238746643,0.09431643038988113,0.013890879228711128,-1.9929301738739014
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,1,1,0.0,-2.9321534633636475,0.17846018075942993,0.02451283484697342,-0.03144880384206772
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,1,2,0.0,2.9321534633636475,0.17846018075942993,0.02451283484697342,0.03144880384206772
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,1,3,0.41887906193733215,-1.2566372156143188,0.1777420938014984,0.024414198473095894,-2.2627835273742676
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,1,4,-0.41887906193733215,1.2566372156143188,0.1777420938014984,0.024414198473095894,2.2627835273742676
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,1,5,0.0,2.094395160675049,0.13604886829853058,0.018687324598431587,-0.8454748392105103
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,1,6,0.0,-2.094395160675049,0.13604886829853058,0.018687324598431587,0.8454748392105103
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,1,7,0.41887906193733215,2.094395160675049,0.12513190507888794,0.017187798395752907,-0.9373538494110107
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,1,8,-0.41887906193733215,-2.094395160675049,0.12513190507888794,0.017187798395752907,0.9373538494110107
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,2,1,0.0,-2.094395160675049,0.08277855813503265,0.02220718003809452,-3.08032488822937
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,2,2,0.0,2.094395160675049,0.08277855813503265,0.02220718003809452,3.08032488822937
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,2,3,0.8377581238746643,1.2566372156143188,0.07194916903972626,0.01930195651948452,2.59675669670105
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,2,4,-0.8377581238746643,-1.2566372156143188,0.07194916903972626,0.01930195651948452,-2.59675669670105
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,2,5,-2.9321534633636475,-2.9321534633636475,0.06294582784175873,0.01688661053776741,0.19342052936553955
cifar10,classification,toric_PJ_R2_coord_shuffle,711,0,2,6,2.9321534633636475,2.9321534633636475,0.06294582784175873,0.01688661053776741,-0.19342052936553955
