dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,classification,toric_PJ_R2,477,0,0,1,0.41887906193733215,0.8377581238746643,12.089320182800293,0.09558495134115219,-0.1448681801557541
cifar10,classification,toric_PJ_R2,477,0,0,2,-0.41887906193733215,-0.8377581238746643,12.089320182800293,0.09558495134115219,0.1448681801557541
cifar10,classification,toric_PJ_R2,477,0,0,3,-0.8377581238746643,-0.41887906193733215,11.111413955688477,0.0878530740737915,-0.3414519131183624
cifar10,classification,toric_PJ_R2,477,0,0,4,0.8377581238746643,0.41887906193733215,11.111413955688477,0.0878530740737915,0.3414519131183624
cifar10,classification,toric_PJ_R2,477,0,0,5,0.8377581238746643,0.0,11.011673927307129,0.0870644748210907,0.4428367018699646
cifar10,classification,toric_PJ_R2,477,0,0,6,-0.8377581238746643,0.0,11.011673927307129,0.0870644748210907,-0.4428367018699646
cifar10,classification,toric_PJ_R2,477,0,0,7,-0.41887906193733215,0.0,4.177734851837158,0.03303151577711105,2.783851385116577
cifar10,classification,toric_PJ_R2,477,0,0,8,0.41887906193733215,0.0,4.177734851837158,0.03303151577711105,-2.783851385116577
cifar10,classification,toric_PJ_R2,477,0,1,1,-0.8377581238746643,-0.41887906193733215,11.178532600402832,0.08625470101833344,2.6443305015563965
cifar10,classification,toric_PJ_R2,477,0,1,2,0.8377581238746643,0.41887906193733215,11.178532600402832,0.08625470101833344,-2.6443305015563965
cifar10,classification,toric_PJ_R2,477,0,1,3,-0.8377581238746643,-0.8377581238746643,8.80295467376709,0.06792449951171875,2.071800708770752
cifar10,classification,toric_PJ_R2,477,0,1,4,0.8377581238746643,0.8377581238746643,8.80295467376709,0.06792449951171875,-2.071800708770752
cifar10,classification,toric_PJ_R2,477,0,1,5,1.2566372156143188,0.41887906193733215,7.477555274963379,0.05769758298993111,-2.451962471008301
cifar10,classification,toric_PJ_R2,477,0,1,6,-1.2566372156143188,-0.41887906193733215,7.477555274963379,0.05769758298993111,2.451962471008301
cifar10,classification,toric_PJ_R2,477,0,1,7,0.8377581238746643,0.0,5.29695987701416,0.04087188467383385,1.171981692314148
cifar10,classification,toric_PJ_R2,477,0,1,8,-0.8377581238746643,0.0,5.29695987701416,0.04087188467383385,-1.171981692314148
cifar10,classification,toric_PJ_R2,477,0,2,1,0.41887906193733215,0.8377581238746643,15.378111839294434,0.11017733067274094,0.7848449945449829
cifar10,classification,toric_PJ_R2,477,0,2,2,-0.41887906193733215,-0.8377581238746643,15.378111839294434,0.11017733067274094,-0.7848449945449829
cifar10,classification,toric_PJ_R2,477,0,2,3,-0.41887906193733215,0.0,11.672212600708008,0.08362621068954468,2.9414405822753906
cifar10,classification,toric_PJ_R2,477,0,2,4,0.41887906193733215,0.0,11.672212600708008,0.08362621068954468,-2.9414405822753906
cifar10,classification,toric_PJ_R2,477,0,2,5,0.8377581238746643,0.41887906193733215,5.8699846267700195,0.04205583035945892,-0.25152286887168884
cifar10,classification,toric_PJ_R2,477,0,2,6,-0.8377581238746643,-0.41887906193733215,5.8699846267700195,0.04205583035945892,0.25152286887168884
cifar10,classification,toric_PJ_R2,477,0,2,7,0.8377581238746643,0.0,5.533514499664307,0.03964516893029213,-0.007679173722863197
cifar10,classification,toric_PJ_R2,477,0,2,8,-0.8377581238746643,0.0,5.533514499664307,0.03964516893029213,0.007679173722863197
cifar10,classification,toric_PJ_R2,477,0,3,1,-0.41887906193733215,-0.41887906193733215,10.73160171508789,0.10487057268619537,2.478302001953125
cifar10,classification,toric_PJ_R2,477,0,3,2,0.41887906193733215,0.41887906193733215,10.73160171508789,0.10487057268619537,-2.478302001953125
cifar10,classification,toric_PJ_R2,477,0,3,3,0.8377581238746643,0.41887906193733215,4.878610134124756,0.04767439514398575,-0.9731701612472534
cifar10,classification,toric_PJ_R2,477,0,3,4,-0.8377581238746643,-0.41887906193733215,4.878610134124756,0.04767439514398575,0.9731701612472534
cifar10,classification,toric_PJ_R2,477,0,3,5,-0.8377581238746643,-0.8377581238746643,3.8924455642700195,0.03803747147321701,1.7419854402542114
cifar10,classification,toric_PJ_R2,477,0,3,6,0.8377581238746643,0.8377581238746643,3.8924455642700195,0.03803747147321701,-1.7419854402542114
cifar10,classification,toric_PJ_R2,477,0,3,7,-0.41887906193733215,0.0,3.691801071166992,0.03607674688100815,-2.8435206413269043
cifar10,classification,toric_PJ_R2,477,0,3,8,0.41887906193733215,0.0,3.691801071166992,0.03607674688100815,2.8435206413269043
cifar10,classification,toric_PJ_R2,477,0,4,1,0.8377581238746643,0.41887906193733215,19.61011505126953,0.13959206640720367,-1.1834989786148071
cifar10,classification,toric_PJ_R2,477,0,4,2,-0.8377581238746643,-0.41887906193733215,19.61011505126953,0.13959206640720367,1.1834989786148071
cifar10,classification,toric_PJ_R2,477,0,4,3,0.0,-0.8377581238746643,9.554423332214355,0.06801192462444305,-1.263473629951477
cifar10,classification,toric_PJ_R2,477,0,4,4,0.0,0.8377581238746643,9.554423332214355,0.06801192462444305,1.263473629951477
cifar10,classification,toric_PJ_R2,477,0,4,5,0.8377581238746643,0.8377581238746643,8.320371627807617,0.059227488934993744,-1.3483790159225464
cifar10,classification,toric_PJ_R2,477,0,4,6,-0.8377581238746643,-0.8377581238746643,8.320371627807617,0.059227488934993744,1.3483790159225464
cifar10,classification,toric_PJ_R2,477,0,4,7,0.41887906193733215,-0.8377581238746643,8.229921340942383,0.05858363211154938,-0.9227850437164307
cifar10,classification,toric_PJ_R2,477,0,4,8,-0.41887906193733215,0.8377581238746643,8.229921340942383,0.05858363211154938,0.9227850437164307
cifar10,classification,toric_PJ_R2,477,0,5,1,-0.8377581238746643,-0.41887906193733215,9.651619911193848,0.08945844322443008,-2.93266224861145
