dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,classification,toric_order0,560,0,0,1,0.41887906193733215,0.8377581238746643,0.3693074584007263,0.17704890668392181,-0.009062673896551132
cifar10,classification,toric_order0,560,0,0,2,-0.41887906193733215,-0.8377581238746643,0.3693074584007263,0.17704890668392181,0.009062673896551132
cifar10,classification,toric_order0,560,0,0,3,-0.41887906193733215,0.41887906193733215,0.16112765669822693,0.07724586874246597,1.0069572925567627
cifar10,classification,toric_order0,560,0,0,4,0.41887906193733215,-0.41887906193733215,0.16112765669822693,0.07724586874246597,-1.0069572925567627
cifar10,classification,toric_order0,560,0,0,5,0.8377581238746643,-0.41887906193733215,0.11090051382780075,0.05316657945513725,2.2143609523773193
cifar10,classification,toric_order0,560,0,0,6,-0.8377581238746643,0.41887906193733215,0.11090051382780075,0.05316657945513725,-2.2143609523773193
cifar10,classification,toric_order0,560,0,0,7,-0.8377581238746643,-0.41887906193733215,0.10502751171588898,0.050351016223430634,2.577665328979492
cifar10,classification,toric_order0,560,0,0,8,0.8377581238746643,0.41887906193733215,0.10502751171588898,0.050351016223430634,-2.577665328979492
cifar10,classification,toric_order0,560,0,1,1,-0.8377581238746643,-0.41887906193733215,0.5066145062446594,0.2526557445526123,-2.1033201217651367
cifar10,classification,toric_order0,560,0,1,2,0.8377581238746643,0.41887906193733215,0.5066145062446594,0.2526557445526123,2.1033201217651367
cifar10,classification,toric_order0,560,0,1,3,0.41887906193733215,-0.41887906193733215,0.11715755611658096,0.058428116142749786,0.061349570751190186
cifar10,classification,toric_order0,560,0,1,4,-0.41887906193733215,0.41887906193733215,0.11715755611658096,0.058428116142749786,-0.061349570751190186
cifar10,classification,toric_order0,560,0,1,5,0.8377581238746643,-0.41887906193733215,0.09724778681993484,0.04849883168935776,-3.071711540222168
cifar10,classification,toric_order0,560,0,1,6,-0.8377581238746643,0.41887906193733215,0.09724778681993484,0.04849883168935776,3.071711540222168
cifar10,classification,toric_order0,560,0,1,7,-0.8377581238746643,0.8377581238746643,0.04500456526875496,0.022444406524300575,0.03830347955226898
cifar10,classification,toric_order0,560,0,1,8,0.8377581238746643,-0.8377581238746643,0.04500456526875496,0.022444406524300575,-0.03830347955226898
cifar10,classification,toric_order0,560,0,2,1,-0.8377581238746643,-0.41887906193733215,0.6319957375526428,0.21173380315303802,2.0890846252441406
cifar10,classification,toric_order0,560,0,2,2,0.8377581238746643,0.41887906193733215,0.6319957375526428,0.21173380315303802,-2.0890846252441406
cifar10,classification,toric_order0,560,0,2,3,0.41887906193733215,0.8377581238746643,0.22199441492557526,0.07437347620725632,0.7448774576187134
cifar10,classification,toric_order0,560,0,2,4,-0.41887906193733215,-0.8377581238746643,0.22199441492557526,0.07437347620725632,-0.7448774576187134
cifar10,classification,toric_order0,560,0,2,5,0.41887906193733215,-0.41887906193733215,0.15893550217151642,0.053247224539518356,0.7556734681129456
