protocol,comparison,frequency_source,fit_target,order,directional_atom_budget,full_atom_budget,directional_num_features,full_num_features,directional_target_fit_r2,full_target_fit_r2,delta_target_fit_r2_full_minus_directional,directional_table_fit_r2,full_table_fit_r2,delta_table_fit_r2_full_minus_directional,directional_condition_number,full_condition_number,condition_ratio_full_over_directional,directional_coeff_norm,full_coeff_norm,coeff_norm_ratio_full_over_directional
matched,matched_atom,generic,axis_plus_residual,1,108,108,101.0,103.0,0.5407035815902771,0.6345095297032897,0.09380594811301257,0.8860158982256848,0.909630885421208,0.02361498719552313,2837705354030.025,611506.7986575091,2.154934083586463e-07,153.7937718533484,156.81127616121887,1.019620458432789
matched,matched_atom,generic,axis_plus_residual,1,54,54,51.0,49.0,0.28955457857871975,0.49761162920028507,0.20805705062156532,0.8331721489653908,0.8758751271591163,0.04270297819372548,1869287043059.084,260.54785066853486,1.3938354285179707e-10,0.1660516540535977,4.1109312736546295,24.756942633812695
matched,matched_atom,generic,axis_plus_residual,2,108,108,91.0,97.0,0.5593780446446408,0.6257722925722862,0.06639424792764537,0.8929402430556915,0.9064686632803772,0.0135284202246857,2455409110491.36,2040870.334036567,8.311732351714545e-07,1.5031239155895133,134.4096155672591,89.42018297576266
matched,matched_atom,generic,axis_plus_residual,2,54,54,37.0,49.0,0.23199522375708617,0.4035029544512028,0.17150773069411665,0.8167123888678997,0.8556890719603459,0.038976683092446285,2679340007152.7417,10017.613235259747,3.7388361344647626e-09,73.44014243998255,46.41906676984494,0.6320666767194789
matched,matched_atom,generic,full_table,1,108,108,101.0,103.0,0.7873049608826053,0.8675424024011181,0.08023744151851286,0.7873049608826053,0.8675424024011181,0.08023744151851286,2837705354030.025,611506.7986575091,2.154934083586463e-07,343.9824900651185,196.57542963708877,0.5714692907766193
matched,matched_atom,generic,full_table,1,54,54,51.0,49.0,0.6594620624992945,0.794258698637976,0.13479663613868154,0.6594620624992945,0.794258698637976,0.13479663613868154,1869287043059.084,260.54785066853486,1.3938354285179707e-10,0.6920999619868021,7.359771003064438,10.63397111298322
matched,matched_atom,generic,full_table,2,108,108,91.0,97.0,0.8077256962298226,0.8629102995363417,0.05518460330651909,0.8077256962298226,0.8629102995363417,0.05518460330651909,2455409110491.36,2040870.334036567,8.311732351714545e-07,2.905372889462695,170.44987881672316,58.667126493441366
matched,matched_atom,generic,full_table,2,54,54,37.0,49.0,0.6631223640280117,0.7945706270075031,0.13144826297949141,0.6631223640280117,0.7945706270075031,0.13144826297949141,2679340007152.7417,10017.613235259747,3.7388361344647626e-09,213.50405056377713,96.1001903209172,0.4501094478870813
matched,matched_atom,generic,oblique_residual,1,108,108,101.0,103.0,0.5407035815902771,0.6345095297032897,0.09380594811301257,-0.5992456474946892,-0.5707648350129033,0.02848081248178591,2837705354030.025,611506.7986575091,2.154934083586463e-07,153.7937718533484,156.81127616121887,1.019620458432789
matched,matched_atom,generic,oblique_residual,1,54,54,51.0,49.0,0.28955457857871975,0.49761162920028507,0.20805705062156532,-0.6490036163365028,-0.6084990800893394,0.040504536247163436,1869287043059.084,260.54785066853486,1.3938354285179707e-10,0.1660516540535977,4.1109312736546295,24.756942633812695
