dataset,task,basis,seed,step,metric,train_score,test_score,train_loss,test_loss,elapsed_sec
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,0,masked_patch_r2,-0.41758835315704346,-0.42049407958984375,1.4263789653778076,1.4163639545440674,0.6323509216308594
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,1000,masked_patch_r2,0.7366920709609985,0.7350497245788574,0.26455551385879517,0.26389962434768677,88.85713076591492
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,2000,masked_patch_r2,0.8364433646202087,0.8364257216453552,0.16456088423728943,0.1631854772567749,182.91344356536865
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,3000,masked_patch_r2,0.8558317422866821,0.8552539944648743,0.14536035060882568,0.14411592483520508,272.07660365104675
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,4000,masked_patch_r2,0.8630110621452332,0.8611745238304138,0.13776081800460815,0.13855531811714172,362.04604291915894
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,5000,masked_patch_r2,0.8628349304199219,0.863495409488678,0.137315034866333,0.13618753850460052,453.02584624290466
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,6000,masked_patch_r2,0.8658419251441956,0.8653128743171692,0.13541845977306366,0.1344546228647232,543.8343846797943
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,7000,masked_patch_r2,0.8680649399757385,0.8643275499343872,0.1324775218963623,0.13526320457458496,634.3860611915588
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,8000,masked_patch_r2,0.8687294125556946,0.8664673566818237,0.1318659484386444,0.13308091461658478,725.160318851471
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,9000,masked_patch_r2,0.868888795375824,0.8668739795684814,0.13182057440280914,0.13243542611598969,815.8959708213806
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,426,9999,masked_patch_r2,0.86951744556427,0.8680086731910706,0.13117942214012146,0.1313820630311966,906.4469974040985
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,0,masked_patch_r2,-0.4923675060272217,-0.49109160900115967,1.4997503757476807,1.4908450841903687,0.5153512954711914
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,1000,masked_patch_r2,0.7346512675285339,0.7361372709274292,0.2662469744682312,0.2629808187484741,90.8296570777893
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,2000,masked_patch_r2,0.8350808024406433,0.8338403701782227,0.1661352515220642,0.16568271815776825,181.27328395843506
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,3000,masked_patch_r2,0.8542617559432983,0.8521950840950012,0.1468959003686905,0.14734670519828796,271.6902301311493
cifar10,reconstruction,v12_freqsrc_table_J0_atoms108,526,4000,masked_patch_r2,0.8607114553451538,0.8605601787567139,0.13976402580738068,0.1390095353126526,362.38169169425964
