basis,layer,head,teacher_init_mse,teacher_init_r2,num_features
v12_freqsrc_table_J0_atoms108,0,0,0.0001279705742771549,0.8727901421135899,107
v12_freqsrc_table_J0_atoms108,0,1,0.00012135202250737292,0.8865733922005168,107
v12_freqsrc_table_J0_atoms108,0,2,0.00014971646372520568,0.8632905259075322,107
v12_freqsrc_table_J0_atoms108,0,3,0.00020908098209030364,0.7838190794489238,107
v12_freqsrc_table_J0_atoms108,0,4,0.00011160434806458414,0.8939615374503802,107
v12_freqsrc_table_J0_atoms108,0,5,0.00013263615139535434,0.8737659795570965,107
v12_freqsrc_table_J0_atoms108,0,6,0.00017235214988377503,0.8495451143339532,107
v12_freqsrc_table_J0_atoms108,0,7,0.00011066548621810048,0.905289625416516,107
v12_freqsrc_table_J0_atoms108,1,0,0.0001210577583108523,0.7917897779072063,107
v12_freqsrc_table_J0_atoms108,1,1,0.0003288633494520837,0.6365682358860771,107
v12_freqsrc_table_J0_atoms108,1,2,0.0002852587360311588,0.7376354365678357,107
v12_freqsrc_table_J0_atoms108,1,3,0.00031925201195519943,0.6086495109445389,107
v12_freqsrc_table_J0_atoms108,1,4,0.00029037869378899884,0.5121928341572246,107
v12_freqsrc_table_J0_atoms108,1,5,0.0003037832219339922,0.5185725286546237,107
v12_freqsrc_table_J0_atoms108,1,6,0.0002609749243107217,0.6970778029785829,107
v12_freqsrc_table_J0_atoms108,1,7,0.0004108233728807233,0.5694178479915164,107
v12_freqsrc_table_J0_atoms108,2,0,0.00027935296652322465,0.7291433823706055,107
v12_freqsrc_table_J0_atoms108,2,1,0.0004532328125463138,0.6675213163345499,107
v12_freqsrc_table_J0_atoms108,2,2,0.001574705301743902,0.7656073605496789,107
v12_freqsrc_table_J0_atoms108,2,3,0.0002570004508489445,0.843485736662589,107
v12_freqsrc_table_J0_atoms108,2,4,0.0004569962467826295,0.6170130547536672,107
v12_freqsrc_table_J0_atoms108,2,5,0.00015709572251367302,0.6973478975014007,107
v12_freqsrc_table_J0_atoms108,2,6,0.000406860179747034,0.675035424009029,107
v12_freqsrc_table_J0_atoms108,2,7,5.200540587339405e-05,0.9138288871071893,107
v12_freqsrc_table_J0_atoms108,3,0,0.0003461704778439924,0.8289300638959058,107
v12_freqsrc_table_J0_atoms108,3,1,0.0005491549887719892,0.7359268740639267,107
v12_freqsrc_table_J0_atoms108,3,2,0.0005943194535922494,0.8231291584964049,107
