dataset,task,basis,seed,step,metric,train_score,test_score,train_loss,test_loss,elapsed_sec
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,0,masked_patch_r2,-0.41759419441223145,-0.42050743103027344,1.426384687423706,1.4163774251937866,0.6353335380554199
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,1000,masked_patch_r2,0.7001690864562988,0.6980125904083252,0.3012516498565674,0.3007674515247345,89.51547622680664
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,2000,masked_patch_r2,0.7844703197479248,0.7857168912887573,0.21685197949409485,0.21373172104358673,181.64107966423035
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,3000,masked_patch_r2,0.8415021300315857,0.840683102607727,0.15980751812458038,0.15860728919506073,270.9861304759979
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,4000,masked_patch_r2,0.85438072681427,0.8540723323822021,0.14644081890583038,0.14562249183654785,360.8383991718292
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,5000,masked_patch_r2,0.8560653328895569,0.8569690585136414,0.14409245550632477,0.1426936239004135,451.51075887680054
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,6000,masked_patch_r2,0.8588926196098328,0.8594051599502563,0.14243324100971222,0.1403365433216095,542.1381466388702
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,7000,masked_patch_r2,0.8616295456886292,0.8585876226425171,0.13893954455852509,0.14098167419433594,632.4750440120697
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,8000,masked_patch_r2,0.861997663974762,0.8610733151435852,0.13862675428390503,0.13843873143196106,723.2537264823914
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,9000,masked_patch_r2,0.8629448413848877,0.8613351583480835,0.13779696822166443,0.1379324197769165,813.7490298748016
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,426,9999,masked_patch_r2,0.8640241622924805,0.8629904985427856,0.1367020159959793,0.13637201488018036,903.994469165802
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,0,masked_patch_r2,-0.4923492670059204,-0.49107277393341064,1.4997320175170898,1.4908260107040405,0.5135014057159424
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,1000,masked_patch_r2,0.7070783972740173,0.7070620656013489,0.293913334608078,0.29197484254837036,90.68346357345581
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,2000,masked_patch_r2,0.7534035444259644,0.7521095871925354,0.24841412901878357,0.24719558656215668,181.00976991653442
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,3000,masked_patch_r2,0.8217552900314331,0.820082426071167,0.17966023087501526,0.1793479472398758,271.3963394165039
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,4000,masked_patch_r2,0.8453541994094849,0.8457862138748169,0.15517324209213257,0.1537303924560547,361.77166533470154
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,5000,masked_patch_r2,0.8521174192428589,0.8512385487556458,0.14861682057380676,0.1481226235628128,452.345041513443
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,6000,masked_patch_r2,0.854810357093811,0.8548769950866699,0.14607496559619904,0.14466643333435059,542.6981613636017
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,7000,masked_patch_r2,0.8555689454078674,0.8554118275642395,0.14529210329055786,0.14394760131835938,633.2518680095673
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,8000,masked_patch_r2,0.8585036993026733,0.8580285906791687,0.14207422733306885,0.14151254296302795,723.9242055416107
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,9000,masked_patch_r2,0.8608577251434326,0.8594323396682739,0.14010456204414368,0.13983070850372314,814.4055864810944
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,526,9999,masked_patch_r2,0.8612238168716431,0.8609684109687805,0.13938593864440918,0.13830475509166718,904.7620029449463
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,0,masked_patch_r2,-0.5257757902145386,-0.5331853628158569,1.5332598686218262,1.5270503759384155,0.5170128345489502
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,1000,masked_patch_r2,0.6767382621765137,0.6790099143981934,0.3244955241680145,0.3210000991821289,90.50985789299011
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,2000,masked_patch_r2,0.7733675837516785,0.7729473114013672,0.22713139653205872,0.22615757584571838,180.70939946174622
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,3000,masked_patch_r2,0.8305074572563171,0.8317074775695801,0.16922441124916077,0.16773270070552826,271.1220271587372
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,4000,masked_patch_r2,0.8484966158866882,0.8478272557258606,0.1527954787015915,0.15172366797924042,361.63491916656494
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,5000,masked_patch_r2,0.8525918126106262,0.8502768278121948,0.14804808795452118,0.1492733657360077,452.1654670238495
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,6000,masked_patch_r2,0.8549184799194336,0.85545814037323,0.14629735052585602,0.14433935284614563,542.7367415428162
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,7000,masked_patch_r2,0.8576905727386475,0.8554807901382446,0.14338946342468262,0.14414559304714203,633.4178459644318
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,8000,masked_patch_r2,0.8597879409790039,0.8576415777206421,0.14145967364311218,0.14164778590202332,723.9806745052338
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,9000,masked_patch_r2,0.8596823811531067,0.8591645956039429,0.14091598987579346,0.14033138751983643,814.5447177886963
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J1_atoms108,626,9999,masked_patch_r2,0.8608459234237671,0.8587324023246765,0.14005449414253235,0.14085261523723602,904.9195592403412
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,0,masked_patch_r2,-0.6763745546340942,-0.676864504814148,1.6845343112945557,1.6726776361465454,0.5085563659667969
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,1000,masked_patch_r2,0.6809835433959961,0.6802099347114563,0.3210601806640625,0.3192218244075775,90.62535643577576
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,2000,masked_patch_r2,0.754126787185669,0.7545947432518005,0.2474803626537323,0.2446960210800171,181.16569638252258
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,3000,masked_patch_r2,0.830247163772583,0.830099880695343,0.17111767828464508,0.16935794055461884,271.57340836524963
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,4000,masked_patch_r2,0.8495383262634277,0.8477298021316528,0.1516188383102417,0.15136229991912842,362.03723406791687
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,5000,masked_patch_r2,0.852918803691864,0.8505274057388306,0.14774508774280548,0.14868299663066864,452.7764391899109
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,6000,masked_patch_r2,0.8526590466499329,0.8517176508903503,0.14745250344276428,0.1475643366575241,543.4419846534729
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,7000,masked_patch_r2,0.8573217391967773,0.854295015335083,0.14364340901374817,0.14516882598400116,634.0838646888733
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,8000,masked_patch_r2,0.8583728671073914,0.8562300205230713,0.14242999255657196,0.14366918802261353,724.772168636322
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,9000,masked_patch_r2,0.8573261499404907,0.8566039204597473,0.1426144540309906,0.14267048239707947,815.5673620700836
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,443,9999,masked_patch_r2,0.8592397570610046,0.8583163022994995,0.14125367999076843,0.14136312901973724,906.2448582649231
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,0,masked_patch_r2,-0.5719915628433228,-0.5647810697555542,1.575987458229065,1.562900424003601,0.5167038440704346
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,1000,masked_patch_r2,0.6631484031677246,0.6634364128112793,0.33874261379241943,0.3357795774936676,90.57201313972473
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,2000,masked_patch_r2,0.7471041679382324,0.7512430548667908,0.25322115421295166,0.2489270269870758,180.8475546836853
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,3000,masked_patch_r2,0.8265019655227661,0.8242397904396057,0.17407700419425964,0.17525073885917664,271.26067757606506
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,4000,masked_patch_r2,0.8443795442581177,0.844929575920105,0.15619829297065735,0.15447750687599182,361.833172082901
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,5000,masked_patch_r2,0.8490827679634094,0.8483057022094727,0.15195271372795105,0.15128545463085175,452.3702003955841
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,6000,masked_patch_r2,0.8508917689323425,0.8498778939247131,0.15006858110427856,0.1492810845375061,542.9162974357605
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,7000,masked_patch_r2,0.852423369884491,0.852995753288269,0.14792665839195251,0.1467115730047226,633.4110443592072
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,8000,masked_patch_r2,0.8550548553466797,0.8551526069641113,0.14551180601119995,0.1446019858121872,723.8948376178741
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,9000,masked_patch_r2,0.858873188495636,0.8569849133491516,0.142717182636261,0.14263026416301727,814.4554710388184
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,543,9999,masked_patch_r2,0.8578664064407349,0.8568441867828369,0.1427670121192932,0.1423344910144806,904.9350547790527
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,643,0,masked_patch_r2,-0.49205124378204346,-0.4934346675872803,1.5022177696228027,1.4877547025680542,0.5160689353942871
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,643,1000,masked_patch_r2,0.6690608859062195,0.6697919368743896,0.3330082893371582,0.3283096253871918,90.62685680389404
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,643,2000,masked_patch_r2,0.758256196975708,0.7561072111129761,0.2430713176727295,0.2426629364490509,181.03650832176208
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,643,3000,masked_patch_r2,0.8175356388092041,0.8176668286323547,0.1837521493434906,0.1816767007112503,271.7480742931366
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,643,4000,masked_patch_r2,0.843254029750824,0.8436267971992493,0.15720926225185394,0.15593847632408142,362.3618223667145
cifar10,reconstruction,v12_matched_axis_residual_toric_full_J2_atoms108,643,5000,masked_patch_r2,0.8493572473526001,0.8482310771942139,0.15144819021224976,0.15113948285579681,453.028929233551
