basis,layer,head,teacher_init_mse,teacher_init_r2,num_features
v12_matched_axis_residual_toric_full_J1_atoms108,0,0,0.00011703413191636638,0.8836615731934079,107
v12_matched_axis_residual_toric_full_J1_atoms108,0,1,0.00010353053787262408,0.903230968286217,107
v12_matched_axis_residual_toric_full_J1_atoms108,0,2,0.00014168619655682856,0.8706231436711056,107
v12_matched_axis_residual_toric_full_J1_atoms108,0,3,0.00019862711197427203,0.7946279404099318,107
v12_matched_axis_residual_toric_full_J1_atoms108,0,4,0.00010227893913564636,0.9028218734732996,107
v12_matched_axis_residual_toric_full_J1_atoms108,0,5,0.00012345629851006658,0.8825027358983608,107
v12_matched_axis_residual_toric_full_J1_atoms108,0,6,0.00012881193383198748,0.8875535652431191,107
v12_matched_axis_residual_toric_full_J1_atoms108,0,7,0.00010130645165225854,0.9132993283488624,107
v12_matched_axis_residual_toric_full_J1_atoms108,1,0,0.00010646274275186019,0.8168921048739952,107
v12_matched_axis_residual_toric_full_J1_atoms108,1,1,0.00033843915778331647,0.6259858681019048,107
v12_matched_axis_residual_toric_full_J1_atoms108,1,2,0.0002624112311061076,0.7586492562971656,107
v12_matched_axis_residual_toric_full_J1_atoms108,1,3,0.0003023003423589872,0.6294294714094872,107
v12_matched_axis_residual_toric_full_J1_atoms108,1,4,0.00027566479024012324,0.5369107206350681,107
v12_matched_axis_residual_toric_full_J1_atoms108,1,5,0.00028752220670702776,0.5443425477899371,107
v12_matched_axis_residual_toric_full_J1_atoms108,1,6,0.0002628869205112186,0.6948584859645792,107
v12_matched_axis_residual_toric_full_J1_atoms108,1,7,0.0004019421988774814,0.578726167009159,107
v12_matched_axis_residual_toric_full_J1_atoms108,2,0,0.00027554156325358225,0.7328388641508254,107
v12_matched_axis_residual_toric_full_J1_atoms108,2,1,0.00046607125363242575,0.6581034015797775,107
v12_matched_axis_residual_toric_full_J1_atoms108,2,2,0.00149023743195354,0.7781802825605358,107
v12_matched_axis_residual_toric_full_J1_atoms108,2,3,0.0002240641872461969,0.8635440479139601,107
v12_matched_axis_residual_toric_full_J1_atoms108,2,4,0.00045601612749668276,0.6178344463820328,107
v12_matched_axis_residual_toric_full_J1_atoms108,2,5,0.0001352011718665654,0.7395287518275422,107
v12_matched_axis_residual_toric_full_J1_atoms108,2,6,0.0003776806814588193,0.6983414730176949,107
v12_matched_axis_residual_toric_full_J1_atoms108,2,7,4.079691732313814e-05,0.9324009550682242,107
v12_matched_axis_residual_toric_full_J1_atoms108,3,0,0.00033981149383086447,0.8320725357658005,107
v12_matched_axis_residual_toric_full_J1_atoms108,3,1,0.0005189162042596086,0.7504678515911419,107
v12_matched_axis_residual_toric_full_J1_atoms108,3,2,0.0005830137028353638,0.8264937760234161,107
v12_matched_axis_residual_toric_full_J1_atoms108,3,3,0.00019458197519896782,0.7770707153043833,107
v12_matched_axis_residual_toric_full_J1_atoms108,3,4,0.0004216296285982525,0.8093889408019037,107
v12_matched_axis_residual_toric_full_J1_atoms108,3,5,0.00010970799071812809,0.9187073438528501,107
v12_matched_axis_residual_toric_full_J1_atoms108,3,6,0.00012800402222184776,0.8496770055595426,107
v12_matched_axis_residual_toric_full_J1_atoms108,3,7,0.0007562069755016861,0.7663022934280197,107
v12_matched_axis_residual_toric_full_J1_atoms108,4,0,0.00021353862728560035,0.9257405102024708,107
v12_matched_axis_residual_toric_full_J1_atoms108,4,1,0.0011146148539576788,0.8930032382263322,107
v12_matched_axis_residual_toric_full_J1_atoms108,4,2,0.0007510250277829166,0.8027253793277372,107
v12_matched_axis_residual_toric_full_J1_atoms108,4,3,0.00013657872634004496,0.9241352091812217,107
v12_matched_axis_residual_toric_full_J1_atoms108,4,4,0.00020775337948390424,0.8857618183661797,107
v12_matched_axis_residual_toric_full_J1_atoms108,4,5,0.0006047789125275657,0.9019809472517548,107
v12_matched_axis_residual_toric_full_J1_atoms108,4,6,0.00019582477907150218,0.9375548022761964,107
v12_matched_axis_residual_toric_full_J1_atoms108,4,7,0.0006384963907053964,0.8476338386228355,107
v12_matched_axis_residual_toric_full_J1_atoms108,5,0,0.0006266940231440428,0.8073637434457261,107
v12_matched_axis_residual_toric_full_J1_atoms108,5,1,0.00011298684642785845,0.9631875661101896,107
v12_matched_axis_residual_toric_full_J1_atoms108,5,2,0.0003129360557093834,0.9306861256288843,107
v12_matched_axis_residual_toric_full_J1_atoms108,5,3,0.0002831653929142862,0.9554906188045313,107
v12_matched_axis_residual_toric_full_J1_atoms108,5,4,0.00011468127252431947,0.953418719787732,107
v12_matched_axis_residual_toric_full_J1_atoms108,5,5,0.0022110435454913047,0.939930690571078,107
v12_matched_axis_residual_toric_full_J1_atoms108,5,6,0.0004199782446129326,0.8295018406314076,107
