dataset,task,basis,seed,step,metric,train_score,test_score,train_loss,test_loss,elapsed_sec
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,0,masked_patch_r2,-0.41768598556518555,-0.4205970764160156,1.426477074623108,1.4164668321609497,0.6345658302307129
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,1000,masked_patch_r2,0.7186341285705566,0.7170596122741699,0.2827005088329315,0.28176188468933105,89.60818362236023
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,2000,masked_patch_r2,0.829260528087616,0.829103410243988,0.17178744077682495,0.17047275602817535,181.55912470817566
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,3000,masked_patch_r2,0.8555612564086914,0.855111300945282,0.14563515782356262,0.14424572885036469,270.7330026626587
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,4000,masked_patch_r2,0.8627383708953857,0.8620468378067017,0.13803839683532715,0.13767282664775848,360.57063150405884
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,5000,masked_patch_r2,0.8637043237686157,0.864048957824707,0.13644394278526306,0.135637566447258,451.5220241546631
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,6000,masked_patch_r2,0.8664291501045227,0.8657623529434204,0.13482606410980225,0.13400647044181824,542.3844485282898
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,7000,masked_patch_r2,0.8684432506561279,0.8651277422904968,0.13209781050682068,0.1344502866268158,632.8331003189087
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,8000,masked_patch_r2,0.8688544034957886,0.8669689893722534,0.13173991441726685,0.13257746398448944,723.5977845191956
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,9000,masked_patch_r2,0.8689068555831909,0.8671283721923828,0.1318022459745407,0.13216464221477509,814.3423511981964
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,426,9999,masked_patch_r2,0.8697121739387512,0.8683723211288452,0.13098375499248505,0.13101209700107574,904.687931060791
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,0,masked_patch_r2,-0.4924497604370117,-0.491176962852478,1.4998328685760498,1.490930438041687,0.5139098167419434
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,1000,masked_patch_r2,0.7154965400695801,0.7158293724060059,0.2854654788970947,0.28325405716896057,90.7710325717926
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,2000,masked_patch_r2,0.8202775716781616,0.8191604018211365,0.18104851245880127,0.1803261786699295,181.27989864349365
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,3000,masked_patch_r2,0.8517763614654541,0.8492684960365295,0.14940136671066284,0.1502564251422882,271.8258602619171
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,4000,masked_patch_r2,0.8580465316772461,0.8580347895622253,0.14243732392787933,0.1415197253227234,362.4884262084961
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,5000,masked_patch_r2,0.8607751131057739,0.8601317405700684,0.1399160623550415,0.13925941288471222,453.1324999332428
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,6000,masked_patch_r2,0.8626073598861694,0.8621695041656494,0.13823042809963226,0.13739509880542755,543.700786113739
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,7000,masked_patch_r2,0.8621681332588196,0.8617167472839355,0.1386534571647644,0.1376698911190033,634.378261089325
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,8000,masked_patch_r2,0.86417555809021,0.8630675673484802,0.13637959957122803,0.1364843100309372,725.0877928733826
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,9000,masked_patch_r2,0.8656270503997803,0.8641632795333862,0.13530224561691284,0.1351240575313568,815.6107468605042
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,526,9999,masked_patch_r2,0.86595219373703,0.8647354245185852,0.1346360743045807,0.13455656170845032,906.0586721897125
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,0,masked_patch_r2,-0.5259101390838623,-0.5333201885223389,1.5333950519561768,1.5271844863891602,0.516493558883667
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,1000,masked_patch_r2,0.702078104019165,0.7043410539627075,0.29905933141708374,0.2956644594669342,90.73194074630737
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,2000,masked_patch_r2,0.8096398115158081,0.8093408346176147,0.19077983498573303,0.18992315232753754,181.03798985481262
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,3000,masked_patch_r2,0.8440543413162231,0.8451622724533081,0.15569937229156494,0.1543271541595459,271.54113125801086
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,4000,masked_patch_r2,0.8547438383102417,0.8540302515029907,0.14649492502212524,0.14552979171276093,362.06578946113586
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,5000,masked_patch_r2,0.8570370674133301,0.8551973104476929,0.14358282089233398,0.1443530172109604,452.5228831768036
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,6000,masked_patch_r2,0.8589897155761719,0.8594529628753662,0.14219176769256592,0.14035046100616455,543.0991671085358
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,7000,masked_patch_r2,0.8615458607673645,0.8592345714569092,0.1395050436258316,0.140412375330925,633.6264896392822
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,8000,masked_patch_r2,0.863075315952301,0.8608214855194092,0.13814261555671692,0.1384965032339096,724.1057677268982
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,9000,masked_patch_r2,0.8635240197181702,0.86217200756073,0.13705971837043762,0.13732916116714478,814.628279209137
cifar10,reconstruction,v12_freqsrc_axis_J0_atoms108,626,9999,masked_patch_r2,0.8637111783027649,0.8613728284835815,0.13717079162597656,0.1382146179676056,905.0078809261322
cifar10,reconstruction,v12_freqsrc_random_J0_atoms108,443,0,masked_patch_r2,-0.46806275844573975,-0.4675956964492798,1.475206971168518,1.464009404182434,0.5147242546081543
cifar10,reconstruction,v12_freqsrc_random_J0_atoms108,443,1000,masked_patch_r2,0.7937510013580322,0.7923562526702881,0.20757028460502625,0.20720051229000092,91.3724615573883
cifar10,reconstruction,v12_freqsrc_random_J0_atoms108,443,2000,masked_patch_r2,0.8228638768196106,0.8201703429222107,0.1782936155796051,0.17930708825588226,182.46778893470764
cifar10,reconstruction,v12_freqsrc_random_J0_atoms108,443,3000,masked_patch_r2,0.8375895023345947,0.832650899887085,0.1637156754732132,0.1668202131986618,273.1904122829437
cifar10,reconstruction,v12_freqsrc_random_J0_atoms108,443,4000,masked_patch_r2,0.8463911414146423,0.840300977230072,0.15479055047035217,0.1587541103363037,364.23947072029114
cifar10,reconstruction,v12_freqsrc_random_J0_atoms108,443,5000,masked_patch_r2,0.8490983247756958,0.8413190245628357,0.15158255398273468,0.15784338116645813,455.35549116134644
