basis,layer,head,teacher_init_mse,teacher_init_r2,num_features
v12_freqsrc_axis_J0_atoms108,0,0,0.00016681151059751644,0.8341800943162944,107
v12_freqsrc_axis_J0_atoms108,0,1,0.00016175444917293556,0.8488096194272716,107
v12_freqsrc_axis_J0_atoms108,0,2,0.00020542266567375405,0.812423938609206,107
v12_freqsrc_axis_J0_atoms108,0,3,0.0002486988572368129,0.742855866851468,107
v12_freqsrc_axis_J0_atoms108,0,4,0.0001507805747957931,0.8567390911647863,107
v12_freqsrc_axis_J0_atoms108,0,5,0.0001655970273867391,0.8423960713537874,107
v12_freqsrc_axis_J0_atoms108,0,6,0.0003283010670535894,0.7134094379391384,107
v12_freqsrc_axis_J0_atoms108,0,7,0.00012740587798544686,0.890962766798329,107
v12_freqsrc_axis_J0_atoms108,1,0,0.00021467838524107802,0.6307693542879673,107
v12_freqsrc_axis_J0_atoms108,1,1,0.0004104156615457783,0.5464435664719833,107
v12_freqsrc_axis_J0_atoms108,1,2,0.00040490911467651585,0.6275879064043657,107
v12_freqsrc_axis_J0_atoms108,1,3,0.0004233279533093641,0.48106951450719304,107
v12_freqsrc_axis_J0_atoms108,1,4,0.0004391044986333289,0.2623483555484881,107
v12_freqsrc_axis_J0_atoms108,1,5,0.0004102426234493255,0.34985853534657496,107
v12_freqsrc_axis_J0_atoms108,1,6,0.00038816907567761327,0.5494393588556563,107
v12_freqsrc_axis_J0_atoms108,1,7,0.0006109703606811833,0.3596446792430119,107
v12_freqsrc_axis_J0_atoms108,2,0,0.0003913240384428996,0.6205778418289789,107
v12_freqsrc_axis_J0_atoms108,2,1,0.0005055676517893865,0.6291299687098638,107
v12_freqsrc_axis_J0_atoms108,2,2,0.0019766809173463193,0.7057738631763135,107
v12_freqsrc_axis_J0_atoms108,2,3,0.00033793711637881475,0.7941949959633063,107
v12_freqsrc_axis_J0_atoms108,2,4,0.0005304231575979101,0.5554774328092811,107
v12_freqsrc_axis_J0_atoms108,2,5,0.0002729028349746972,0.4742401927860789,107
v12_freqsrc_axis_J0_atoms108,2,6,0.00044693975078212715,0.6430233435556973,107
v12_freqsrc_axis_J0_atoms108,2,7,9.37655238187367e-05,0.8446338529092885,107
v12_freqsrc_axis_J0_atoms108,3,0,0.0007958872579881256,0.6066897927920626,107
