dataset,task,teacher_basis,teacher_seed,layer,head,fit_target,frequency_source,order,phase_chart,jet_chart,chart_scale,num_centers,num_features,selected_ridge,visible_target_r2,visible_table_r2,full_table_r2,full_visible_gap,heldout_rms,extended_outer_pred_rms,extended_outer_max_abs,condition_number,effective_rank,coeff_norm,phase_grad_mean_full,phase_grad_mean_ext,omegas
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,raw,raw,2.0,17,103,1e-08,0.8307314065379984,0.9681167545752035,-270.3412477124939,-271.3093644670691,0.6664171409492413,1.3348864791489776,3.857062775514291,2381916449255.14,45.73638044518814,3.0148799128594974,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,raw,raw,4.0,17,103,1e-08,0.8307314065379984,0.9681167545752035,-270.3412477124939,-271.3093644670691,0.6664171409492413,1.3348864791489776,3.857062775514291,2381916449255.14,45.73638044518814,3.0148799128594974,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,raw,raw,8.0,17,103,1e-08,0.8307314065379984,0.9681167545752035,-270.3412477124939,-271.3093644670691,0.6664171409492413,1.3348864791489776,3.857062775514291,2381916449255.14,45.73638044518814,3.0148799128594974,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,raw,raw,16.0,17,103,1e-08,0.8307314065379984,0.9681167545752035,-270.3412477124939,-271.3093644670691,0.6664171409492413,1.3348864791489776,3.857062775514291,2381916449255.14,45.73638044518814,3.0148799128594974,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,raw,bounded,2.0,17,103,1e-08,0.8368238776561016,0.9692643257101026,-44.640593075836726,-45.609857401546826,0.27329442338527327,0.3828566567993862,1.02367320869952,2337082881306.3296,46.23587231765083,1.4832066910382082,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,raw,bounded,4.0,17,103,1e-08,0.8337785762332458,0.9686907160955158,-129.49962338241107,-130.4683140985066,0.46215279800853776,0.7273936615309567,1.876875479271895,2362450240955.4487,45.955951993094104,2.3335579548714076,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,raw,bounded,8.0,17,103,1e-08,0.8317787533148873,0.9683140316580305,-213.2575956558351,-214.22590968749313,0.5921811153919537,1.0433336162792912,2.7784271687963695,2375679945769.9917,45.80733333059844,2.8049284019494625,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,raw,bounded,16.0,17,103,1e-08,0.8310195694648144,0.9681710326260226,-253.1296378278584,-254.09780886048443,0.6449342594143385,1.2282241294334644,3.415488201130455,2380227513707.7197,45.75565591000649,2.9591999891578076,1.0,1.0,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,asinh,raw,2.0,17,103,1e-08,0.7476698617461223,0.9524713736820456,-8.825637747300576,-9.778109120982622,0.1267322900047327,1.4111492961042755,6.3482103226836335,2696763021141.931,39.25014903972066,7.698533185040735,0.5421049778906628,0.340262483203028,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
cifar10,reconstruction,relative_2d_table,477,0,0,axis_plus_residual,table_informed,1,asinh,raw,4.0,17,103,1e-08,0.7751090744769095,0.9576397935044463,-31.04773692584847,-32.00537671935292,0.2289892954687093,1.9834898045553853,5.537363012039622,2496928691610.8213,44.55702890562421,3.0853906793621184,0.7396280872624377,0.5150866347764183,"[[-0.6981317007977318, 0.6981317007977318], [0.6981317007977318, -0.6981317007977318], [-2.792526803190927, -2.0943951023931953], [2.792526803190927, 2.0943951023931953], [-2.792526803190927, 2.0943951023931953], [2.792526803190927, -2.0943951023931953], [-1.3962634015954636, -0.6981317007977318], [1.3962634015954636, 0.6981317007977318], [-2.0943951023931953, -0.6981317007977318], [2.0943951023931953, 0.6981317007977318], [-2.792526803190927, -1.3962634015954636], [2.792526803190927, 1.3962634015954636], [-0.6981317007977318, 0.0], [0.6981317007977318, 0.0], [1.3962634015954636, 2.792526803190927], [-1.3962634015954636, -2.792526803190927], [-2.792526803190927, -2.792526803190927]]"
