method,basis,extension,eval_resolution,eval_side,n,score_mean,score_std,loss_mean,bias_rms_all_mean,bias_max_all_mean,bias_rms_near_r_mean,bias_max_near_r_mean,bias_rms_beyond_train_radius_mean,bias_max_beyond_train_radius_mean
dct_top110,dct_top110,functional,32,8,3,0.8611481587092081,0.004835443059637288,0.13960734009742737,0.055239940683046974,1.3208430409431458,0.1111769254008929,1.3208430409431458,0.02071368508040905,0.12816253304481506
dct_top110,dct_top110,functional,40,10,3,0.8170286814371744,0.001809832502538707,0.19058455030123392,0.05523993571599325,1.1066907246907551,0.13441490630308786,1.1066907246907551,0.021683718388279278,0.2613714685042699
dct_top110,dct_top110,functional,48,12,3,0.7606574892997742,0.008982044556741058,0.2543550282716751,0.05523993819952011,1.341919978459676,0.15692439675331116,1.341919978459676,0.022937659174203873,0.29357561965783435
dct_top110,dct_top110,functional,64,16,3,0.6222321192423502,0.02102557494477786,0.4494815369447072,0.05523993819952011,1.2965590755144756,0.1946303447087606,1.2965590755144756,0.02626944271226724,0.3682659864425659
dct_top110,dct_top110,no_pos,32,8,3,0.2838019331296285,0.008210895567907479,0.7193275094032288,0.0,0.0,0.0,0.0,0.0,0.0
dct_top110,dct_top110,no_pos,40,10,3,0.28053730726242065,0.010369096596513444,0.7480103174845377,0.0,0.0,0.0,0.0,0.0,0.0
dct_top110,dct_top110,no_pos,48,12,3,0.27849137783050537,0.008415864098098438,0.7654517491658529,0.0,0.0,0.0,0.0,0.0,0.0
dct_top110,dct_top110,no_pos,64,16,3,0.2502574920654297,0.007204930995694419,0.8912754654884338,0.0,0.0,0.0,0.0,0.0,0.0
dct_top110,dct_top110,radial_truncate_r4,32,8,3,0.8632964690526327,0.0037518529845537467,0.1374592731396357,0.05188256253798803,1.3208430409431458,0.1111769254008929,1.3208430409431458,0.0,0.0
dct_top110,dct_top110,radial_truncate_r4,40,10,3,0.819417675336202,0.0013604923802137206,0.18811445931593576,0.04952128231525421,1.1066907246907551,0.13441490630308786,1.1066907246907551,0.0,0.0
dct_top110,dct_top110,radial_truncate_r4,48,12,3,0.7614282170931498,0.010963449899867023,0.25358788172403973,0.04775959998369217,1.341919978459676,0.15692439675331116,1.341919978459676,0.0,0.0
dct_top110,dct_top110,radial_truncate_r4,64,16,3,0.6291670004526774,0.016897459145616252,0.44123348593711853,0.04394878695408503,1.2965590755144756,0.1946303447087606,1.2965590755144756,0.0,0.0
dct_top110,dct_top110,table_clamp,32,8,3,0.8611591855684916,0.004841936576253563,0.13959735135237375,0.055239939441283546,1.3208425641059875,0.11117692043383916,1.3208425641059875,0.02071368508040905,0.12816253304481506
dct_top110,dct_top110,table_clamp,40,10,3,0.8555183211962382,0.012512359469702047,0.15038103858629862,0.04583479712406794,1.3208421468734741,0.11117690801620483,1.3208421468734741,0.022188706944386166,0.20878054946660995
dct_top110,dct_top110,table_clamp,48,12,3,0.8339363932609558,0.025812641235750226,0.17635658383369446,0.04011942073702812,1.3208419680595398,0.11117690553267796,1.3208419680595398,0.022786986703674,0.20878061403830847
dct_top110,dct_top110,table_clamp,64,16,3,0.6764880220095316,0.06076400150679671,0.3847224215666453,0.03385059845944246,1.320842981338501,0.11117691546678543,1.320842981338501,0.023453063641985256,0.2087806612253189
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,functional,32,8,3,0.8673628767331442,0.009540021428711038,0.13335099816322327,0.09765348583459854,2.085871458053589,0.18665509422620138,2.085871458053589,0.03994313503305117,0.38195600112279254
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,functional,40,10,3,0.8687168955802917,0.011065088361646578,0.1366980771223704,0.0854804093639056,2.1014434099197388,0.19032538930575052,2.1014434099197388,0.04832088450590769,0.38852087656656903
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,functional,48,12,3,0.8626182874043783,0.012683614977440076,0.1459506700436274,0.07716601590315501,2.1028587420781455,0.19301293790340424,2.1028587420781455,0.049482110887765884,0.4495394726594289
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,functional,64,16,3,0.7129393021265665,0.01627981249538895,0.34139159321784973,0.10081686079502106,2.1001012722651162,0.19761648774147034,2.1001012722651162,0.09587624917427699,1.7468335231145222
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,no_pos,32,8,3,0.27014364798863727,0.010071806398969471,0.7330038547515869,0.0,0.0,0.0,0.0,0.0,0.0
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,no_pos,40,10,3,0.26262253522872925,0.010591066062602766,0.7668532133102417,0.0,0.0,0.0,0.0,0.0,0.0
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,no_pos,48,12,3,0.25654898087183636,0.010165435665356373,0.7886825799942017,0.0,0.0,0.0,0.0,0.0,0.0
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,no_pos,64,16,3,0.22990725437800089,0.01139532303039234,0.9155927697817484,0.0,0.0,0.0,0.0,0.0,0.0
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,radial_truncate_r4,32,8,3,0.872912585735321,0.004664113127120948,0.12780982504288355,0.0871057113011678,2.085871458053589,0.18665509422620138,2.085871458053589,0.0,0.0
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,radial_truncate_r4,40,10,3,0.873488704363505,0.006631243806158461,0.1317457656065623,0.07011988013982773,2.1014434099197388,0.19032538930575052,2.1014434099197388,0.0,0.0
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,radial_truncate_r4,48,12,3,0.8672473231951395,0.007839144545934814,0.14102381467819214,0.058743065843979515,2.1028587420781455,0.19301293790340424,2.1028587420781455,0.0,0.0
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,radial_truncate_r4,64,16,3,0.7504643599192301,0.014727384831054385,0.2968650658925374,0.04462307939926783,2.1001012722651162,0.19761648774147034,2.1001012722651162,0.0,0.0
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,table_clamp,32,8,3,0.8673576712608337,0.009544650030619606,0.13335523506005606,0.09765349080165227,2.085871458053589,0.18665509422620138,2.085871458053589,0.03994313503305117,0.38195600112279254
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,table_clamp,40,10,3,0.8692789276440939,0.01162115724878596,0.1360719402631124,0.08352332065502803,2.085871775945028,0.18665510912736258,2.085871775945028,0.04817205915848414,0.3819560209910075
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,table_clamp,48,12,3,0.8632592558860779,0.015158655717335946,0.145224596063296,0.07655838876962662,2.0858707825342813,0.18665509422620138,2.0858707825342813,0.053121610234181084,0.3819560507933299
farband_repair,mixed_toric_PJ_R0_top220_residual_dct_top32,table_clamp,64,16,3,0.7373202244440714,0.0326587853381918,0.31246747573216754,0.07135268300771713,2.085868755976359,0.18665510912736258,2.085868755976359,0.059368537118037544,0.38195619980494183
relative_table,relative_2d_table,functional,32,8,3,0.8379613757133484,0.002910025289300384,0.16291547815004984,0.03785140191515287,0.32833750049273175,0.061046251406272255,0.2630746563275655,0.0,0.0
relative_table,relative_2d_table,functional,40,10,3,0.8085265358289083,0.003623637957353339,0.19939953088760376,0.03371779558559259,0.32178395986557007,0.05062948167324066,0.23477067550023398,0.012324985737601915,0.32178395986557007
relative_table,relative_2d_table,functional,48,12,3,0.7715102235476176,0.002830845125502668,0.24277153114477792,0.03340322275956472,0.31768180926640827,0.052981109668811165,0.24245943129062653,0.02164612462123235,0.31768180926640827
relative_table,relative_2d_table,functional,64,16,3,0.6518025398254395,0.0018720813597542674,0.4141836067040761,0.03368676143387953,0.3128293852011363,0.06041424348950386,0.2389989842971166,0.02984520544608434,0.3128293852011363
relative_table,relative_2d_table,no_pos,32,8,3,0.24091879526774088,0.00204001672838382,0.762533942858378,0.0,0.0,0.0,0.0,0.0,0.0
relative_table,relative_2d_table,no_pos,40,10,3,0.24041744073232016,0.006151922382466682,0.7898970643679301,0.0,0.0,0.0,0.0,0.0,0.0
relative_table,relative_2d_table,no_pos,48,12,3,0.2413583000500997,0.004712413729358151,0.8048693935076395,0.0,0.0,0.0,0.0,0.0,0.0
relative_table,relative_2d_table,no_pos,64,16,3,0.21548495690027872,0.004897230823570866,0.9326858719189962,0.0,0.0,0.0,0.0,0.0,0.0
relative_table,relative_2d_table,radial_truncate_r4,32,8,3,0.8376506765683492,0.0028775897232651256,0.1632361263036728,0.028488250449299812,0.2630746563275655,0.061046251406272255,0.2630746563275655,0.0,0.0
relative_table,relative_2d_table,radial_truncate_r4,40,10,3,0.8073732256889343,0.003614303686300921,0.20061466097831726,0.01865296686689059,0.23477067550023398,0.05062948167324066,0.23477067550023398,0.0,0.0
relative_table,relative_2d_table,radial_truncate_r4,48,12,3,0.7719909946123759,0.0029667405322363126,0.24228881299495697,0.016124685605367024,0.24245943129062653,0.052981109668811165,0.24245943129062653,0.0,0.0
relative_table,relative_2d_table,radial_truncate_r4,64,16,3,0.658887247244517,0.002928857984231953,0.4057751993338267,0.013641926149527231,0.2389989842971166,0.06041424348950386,0.2389989842971166,0.0,0.0
relative_table,relative_2d_table,table_clamp,32,8,3,0.8379609187444051,0.0029375056792423485,0.16289167602856955,0.03785140191515287,0.32833750049273175,0.061046251406272255,0.2630747010310491,0.0,0.0
relative_table,relative_2d_table,table_clamp,40,10,3,0.8309613068898519,0.005632354179863701,0.17589550713698068,0.029882685591777165,0.32833757003148395,0.061046251406272255,0.2630747656027476,0.0,0.0
relative_table,relative_2d_table,table_clamp,48,12,3,0.7931503256162008,0.010320138249330084,0.2196175754070282,0.02468569700916608,0.32833752036094666,0.06104625264803568,0.2630748003721237,0.0,0.0
relative_table,relative_2d_table,table_clamp,64,16,3,0.5831226706504822,0.01287959691330389,0.4956798752148946,0.01831519417464733,0.3283374309539795,0.061046251406272255,0.2630746364593506,0.0,0.0
toric_pj,table_informed_toric_PJ_R0_top220,functional,32,8,3,0.8250041405359904,0.014514073577908775,0.1758706122636795,0.3378935555617015,2.1058599948883057,0.22859054803848267,1.4906686147054036,0.4506186743577321,2.1058599948883057
toric_pj,table_informed_toric_PJ_R0_top220,functional,40,10,3,0.8075442314147949,0.020428245263278,0.20036785304546356,0.3539500931898753,2.1058600743611655,0.2285905530055364,1.4906678597132366,0.40614346663157147,2.1058600743611655
