basis,metric,score,mse,num_features,steps,mask_rate,mask_mode,onset_mse,onset_r2,middle_mse,middle_r2,decay_mse,decay_r2,seed,dataset,representation
no_pos_constant,masked_patch_r2,-0.032025694847106934,0.6474394798278809,1,2000,0.25,rect_block,1.1849101781845093,0.002901315689086914,0.5915073752403259,0.058542490005493164,0.5218484997749329,-3.9571051597595215,426,nsynth,cqt
axis_additive,masked_patch_r2,-0.04515218734741211,0.6556743383407593,5,2000,0.25,rect_block,1.1750543117523193,0.011195003986358643,0.6061735153198242,0.035199522972106934,0.5113780498504639,-3.857645034790039,426,nsynth,cqt
toric_j0,masked_patch_r2,-0.0404207706451416,0.6527060866355896,9,2000,0.25,rect_block,1.1651276350021362,0.019548237323760986,0.597424328327179,0.049124956130981445,0.5428321957588196,-4.156431674957275,426,nsynth,cqt
toric_j1,masked_patch_r2,0.0007717609405517578,0.6268640160560608,41,2000,0.25,rect_block,1.1792404651641846,0.007672309875488281,0.5748319029808044,0.08508360385894775,0.4703068435192108,-3.4675040245056152,426,nsynth,cqt
toric_j2,masked_patch_r2,-0.04838860034942627,0.6577046513557434,73,2000,0.25,rect_block,1.161030888557434,0.02299565076828003,0.6061568260192871,0.03522610664367676,0.535902738571167,-4.0906081199646,426,nsynth,cqt
dct_lowfreq33,masked_patch_r2,-0.05662989616394043,0.6628748178482056,33,2000,0.25,rect_block,1.1987971067428589,-0.00878453254699707,0.6007481813430786,0.0438346266746521,0.5696885585784912,-4.411543846130371,426,nsynth,cqt
toric_j2_coord_shuffle,masked_patch_r2,-0.0441591739654541,0.6550513505935669,73,2000,0.25,rect_block,1.19277822971344,-0.0037196874618530273,0.6030149459838867,0.040226757526397705,0.509625256061554,-3.8409948348999023,426,nsynth,cqt
no_pos_constant,masked_patch_r2,-0.019429564476013184,0.6294838786125183,1,2000,0.25,rect_block,0.8639981746673584,0.04264521598815918,0.6214233636856079,0.09412938356399536,0.4712127447128296,-3.8638253211975098,526,nsynth,cqt
axis_additive,masked_patch_r2,0.0021438002586364746,0.6161626577377319,5,2000,0.25,rect_block,0.8634759187698364,0.04322391748428345,0.6164906620979309,0.10131990909576416,0.41711780428886414,-3.3054609298706055,526,nsynth,cqt
toric_j0,masked_patch_r2,-0.005189776420593262,0.6206910610198975,9,2000,0.25,rect_block,0.8630807399749756,0.04366177320480347,0.6239703893661499,0.09041649103164673,0.4148424565792084,-3.281975269317627,526,nsynth,cqt
toric_j1,masked_patch_r2,-0.038187265396118164,0.6410665512084961,41,2000,0.25,rect_block,0.890999436378479,0.012726426124572754,0.6381974816322327,0.06967711448669434,0.4515637159347534,-3.6610093116760254,526,nsynth,cqt
toric_j2,masked_patch_r2,-0.006973981857299805,0.621792733669281,73,2000,0.25,rect_block,0.8758907318115234,0.029467642307281494,0.6235430836677551,0.09103935956954956,0.4121427536010742,-3.2541089057922363,526,nsynth,cqt
dct_lowfreq33,masked_patch_r2,-0.041350364685058594,0.6430197358131409,33,2000,0.25,rect_block,0.880177915096283,0.024717211723327637,0.6364445090293884,0.07223248481750488,0.4772268533706665,-3.9259023666381836,526,nsynth,cqt
toric_j2_coord_shuffle,masked_patch_r2,0.04940527677536011,0.586979329586029,73,2000,0.25,rect_block,0.8701010942459106,0.03588289022445679,0.5907077789306641,0.13890457153320312,0.34691035747528076,-2.580784797668457,526,nsynth,cqt
no_pos_constant,masked_patch_r2,-0.07479774951934814,0.5974819660186768,1,2000,0.25,rect_block,1.207491159439087,-0.0695723295211792,0.5193893909454346,-0.02577054500579834,0.317604660987854,-20.34613037109375,626,nsynth,cqt
axis_additive,masked_patch_r2,-0.03447270393371582,0.5750651955604553,5,2000,0.25,rect_block,1.185834288597107,-0.05038917064666748,0.5050101280212402,0.0026279091835021973,0.23997525870800018,-15.128677368164062,626,nsynth,cqt
toric_j0,masked_patch_r2,-0.050598859786987305,0.5840297341346741,9,2000,0.25,rect_block,1.210403561592102,-0.07215213775634766,0.5127401351928711,-0.012638568878173828,0.23663291335105896,-14.904040336608887,626,nsynth,cqt
toric_j1,masked_patch_r2,-0.04534602165222168,0.5811097025871277,41,2000,0.25,rect_block,1.1909990310668945,-0.05496394634246826,0.5032764673233032,0.006051778793334961,0.29964202642440796,-19.138866424560547,626,nsynth,cqt
toric_j2,masked_patch_r2,-0.07086563110351562,0.5952960848808289,73,2000,0.25,rect_block,1.167789340019226,-0.03440523147583008,0.5234581828117371,-0.0338062047958374,0.32284000515937805,-20.697998046875,626,nsynth,cqt
dct_lowfreq33,masked_patch_r2,-0.09722399711608887,0.6099487543106079,33,2000,0.25,rect_block,1.2230055332183838,-0.08331465721130371,0.5331022143363953,-0.052852749824523926,0.3176381289958954,-20.34838104248047,626,nsynth,cqt
toric_j2_coord_shuffle,masked_patch_r2,-0.0950855016708374,0.6087599396705627,73,2000,0.25,rect_block,1.194676399230957,-0.05822134017944336,0.5381309390068054,-0.06278419494628906,0.3104022145271301,-19.862056732177734,626,nsynth,cqt
