dataset,task,basis,seed,layer,head,gauge,boundary,bias_mean,bias_std,bias_norm,E_xx,E_yy,E_xy,E_lap,mixed_ratio,E_axial,E_obl,obl_ratio,dc_mass_ratio,spectral_entropy,topk_spectral_mass,topk_dct_mass,diagonal_atom_ratio,low_radial_mass,mid_radial_mass,high_radial_mass,even_spectral_mass,odd_spectral_mass,complex_pair_consistency
cifar10,reconstruction,pruned_toric_PJ,460,0,0,raw,interior_only,-0.005122445523738861,0.02566760778427124,0.39260634779930115,0.020703177899122238,0.026634104549884796,0.004962822422385216,0.04839625209569931,0.094891257584095,0.07263857126235962,0.08150117844343185,0.528748631477356,2.3966627835970977e-16,0.6704062223434448,0.38392114639282227,0.5027872323989868,0.5498074889183044,0.7796456813812256,0.1605084091424942,0.059846021234989166,0.7134813070297241,0.28651875257492065,0.180494487285614
cifar10,reconstruction,pruned_toric_PJ,460,0,0,raw,reflect_padding,-0.005122445523738861,0.02566760778427124,0.39260634779930115,0.053621694445610046,0.06671641767024994,0.004962822422385216,0.14525936543941498,0.039607226848602295,0.07263857126235962,0.08150117844343185,0.528748631477356,2.3966627835970977e-16,0.6704062223434448,0.38392114639282227,0.5027872323989868,0.5498074889183044,0.7796456813812256,0.1605084091424942,0.059846021234989166,0.7134813070297241,0.28651875257492065,0.180494487285614
cifar10,reconstruction,pruned_toric_PJ,460,0,0,centered,interior_only,0.0,0.02566760778427124,0.3850141167640686,0.020703177899122238,0.026634104549884796,0.004962822422385216,0.04839625209569931,0.094891257584095,0.0667346864938736,0.08150118589401245,0.5498074889183044,2.3966627835970977e-16,0.6704062223434448,0.38392114639282227,0.5027872323989868,0.5498074889183044,0.7796456813812256,0.1605084091424942,0.059846021234989166,0.7134813070297241,0.28651875257492065,0.180494487285614
cifar10,reconstruction,pruned_toric_PJ,460,0,0,centered,reflect_padding,0.0,0.02566760778427124,0.3850141167640686,0.05362169072031975,0.06671641767024994,0.004962822888046503,0.14525935053825378,0.03960723057389259,0.0667346864938736,0.08150118589401245,0.5498074889183044,2.3966627835970977e-16,0.6704062223434448,0.38392114639282227,0.5027872323989868,0.5498074889183044,0.7796456813812256,0.1605084091424942,0.059846021234989166,0.7134813070297241,0.28651875257492065,0.180494487285614
cifar10,reconstruction,pruned_toric_PJ,460,0,0,normalized,interior_only,-2.6490953874969136e-10,0.06666667014360428,1.0,0.13966375589370728,0.17967382073402405,0.0334792286157608,0.3264813721179962,0.0948912501335144,0.4501926600933075,0.5498074889183044,0.5498074889183044,1.2089094568812158e-15,0.6704062223434448,0.3839210867881775,0.502787172794342,0.5498073697090149,0.7796456217765808,0.16050837934017181,0.05984599515795708,0.7134813666343689,0.2865186929702759,0.18049460649490356
cifar10,reconstruction,pruned_toric_PJ,460,0,0,normalized,reflect_padding,-2.6490953874969136e-10,0.06666667014360428,1.0,0.36173224449157715,0.4500693678855896,0.033479224890470505,0.9799204468727112,0.039607223123311996,0.4501926600933075,0.5498074889183044,0.5498074889183044,1.2089094568812158e-15,0.6704062223434448,0.3839210867881775,0.502787172794342,0.5498073697090149,0.7796456217765808,0.16050837934017181,0.05984599515795708,0.7134813666343689,0.2865186929702759,0.18049460649490356
cifar10,reconstruction,pruned_toric_PJ,460,0,1,raw,interior_only,-0.007534092292189598,0.030547451227903366,0.47194236516952515,0.03407088667154312,0.0399303175508976,0.006524557713419199,0.06184864416718483,0.08102447539567947,0.11902819573879242,0.10370141267776489,0.4655933380126953,2.93768529249553e-17,0.6948980689048767,0.42490068078041077,0.4776785969734192,0.49391496181488037,0.7025691270828247,0.2226751148700714,0.07475576549768448,0.7162275910377502,0.28377246856689453,-0.2480846643447876
cifar10,reconstruction,pruned_toric_PJ,460,0,1,raw,reflect_padding,-0.007534092292189598,0.030547451227903366,0.47194236516952515,0.1222497820854187,0.13589659333229065,0.006524557713419199,0.2966678738594055,0.024651583284139633,0.11902819573879242,0.10370141267776489,0.4655933380126953,2.93768529249553e-17,0.6948980689048767,0.42490068078041077,0.4776785969734192,0.49391496181488037,0.7025691270828247,0.2226751148700714,0.07475576549768448,0.7162275910377502,0.28377246856689453,-0.2480846643447876
cifar10,reconstruction,pruned_toric_PJ,460,0,1,centered,interior_only,1.9868215406226852e-10,0.030547451227903366,0.458211749792099,0.03407089412212372,0.0399303175508976,0.006524557713419199,0.06184863671660423,0.08102447539567947,0.10625661164522171,0.1037014052271843,0.49391496181488037,9.518099963873712e-17,0.6948980689048767,0.42490068078041077,0.4776785969734192,0.49391496181488037,0.7025691270828247,0.2226751148700714,0.07475576549768448,0.7162275910377502,0.28377246856689453,-0.2480846643447876
cifar10,reconstruction,pruned_toric_PJ,460,0,1,centered,reflect_padding,1.9868215406226852e-10,0.030547451227903366,0.458211749792099,0.1222497820854187,0.13589657843112946,0.006524557713419199,0.29666784405708313,0.02465158700942993,0.10625661164522171,0.1037014052271843,0.49391496181488037,9.518099963873712e-17,0.6948980689048767,0.42490068078041077,0.4776785969734192,0.49391496181488037,0.7025691270828247,0.2226751148700714,0.07475576549768448,0.7162275910377502,0.28377246856689453,-0.2480846643447876
