dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,0,1,2.5132744312286377,1.6755162477493286,0.37449416518211365,0.02220037952065468,-0.11749133467674255
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,0,2,-2.5132744312286377,-1.6755162477493286,0.37449416518211365,0.02220037952065468,0.11749133467674255
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,0,3,0.41887906193733215,0.0,0.3406221866607666,0.02019241452217102,-2.7554707527160645
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,0,4,-0.41887906193733215,0.0,0.3406221866607666,0.02019241452217102,2.7554707527160645
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,0,5,2.5132744312286377,2.5132744312286377,0.24710935354232788,0.01464888360351324,-0.34994766116142273
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,0,6,-2.5132744312286377,-2.5132744312286377,0.24710935354232788,0.01464888360351324,0.34994766116142273
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,0,7,-2.5132744312286377,-0.8377581238746643,0.2379591017961502,0.0141064478084445,0.6700389385223389
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,0,8,2.5132744312286377,0.8377581238746643,0.2379591017961502,0.0141064478084445,-0.6700389385223389
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,1,1,1.2566372156143188,1.2566372156143188,0.3572651743888855,0.020119473338127136,-2.097715139389038
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,1,2,-1.2566372156143188,-1.2566372156143188,0.3572651743888855,0.020119473338127136,2.097715139389038
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,1,3,0.41887906193733215,0.0,0.3311328887939453,0.018647827208042145,-2.6720259189605713
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,1,4,-0.41887906193733215,0.0,0.3311328887939453,0.018647827208042145,2.6720259189605713
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,1,5,2.5132744312286377,0.8377581238746643,0.27603310346603394,0.015544869937002659,-0.4332507848739624
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,1,6,-2.5132744312286377,-0.8377581238746643,0.27603310346603394,0.015544869937002659,0.4332507848739624
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,1,7,0.0,-2.094395160675049,0.2637312710285187,0.014852089807391167,-2.4122116565704346
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,1,8,0.0,2.094395160675049,0.2637312710285187,0.014852089807391167,2.4122116565704346
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,2,1,1.2566372156143188,-2.094395160675049,0.48368361592292786,0.02326171286404133,1.8288049697875977
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,2,2,-1.2566372156143188,2.094395160675049,0.48368361592292786,0.02326171286404133,-1.8288049697875977
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,2,3,-2.5132744312286377,-1.6755162477493286,0.466920405626297,0.022455522790551186,0.4338705539703369
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,2,4,2.5132744312286377,1.6755162477493286,0.466920405626297,0.022455522790551186,-0.4338705539703369
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,2,5,0.41887906193733215,0.0,0.45037227869033813,0.021659675985574722,-2.655762195587158
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,2,6,-0.41887906193733215,0.0,0.45037227869033813,0.021659675985574722,2.655762195587158
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,2,7,2.5132744312286377,2.5132744312286377,0.35495680570602417,0.01707087643444538,-0.163455531001091
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,2,8,-2.5132744312286377,-2.5132744312286377,0.35495680570602417,0.01707087643444538,0.163455531001091
cifar10,reconstruction,toric_PJ_R2_coord_shuffle,494,0,3,1,0.41887906193733215,0.0,0.5239599347114563,0.023433323949575424,-2.6897048950195312
