dataset,task,basis,seed,layer,head,gauge,boundary,bias_mean,bias_std,bias_norm,E_xx,E_yy,E_xy,E_lap,mixed_ratio,E_axial,E_obl,obl_ratio,dc_mass_ratio,spectral_entropy,topk_spectral_mass,topk_dct_mass,diagonal_atom_ratio,low_radial_mass,mid_radial_mass,high_radial_mass,even_spectral_mass,odd_spectral_mass,complex_pair_consistency
cifar10,reconstruction,toric_PJ_R2,443,0,0,raw,interior_only,-0.003362152026966214,0.029834816232323647,0.4503549337387085,0.04452880844473839,0.031179895624518394,0.0088417436927557,0.06297273933887482,0.10457358509302139,0.08207609504461288,0.12074346840381622,0.5953245759010315,2.4144851509007163e-16,0.7510454654693604,0.3496840298175812,0.489990234375,0.6028848886489868,0.5867244601249695,0.29773691296577454,0.11553867161273956,0.6626830697059631,0.3373168706893921,-0.1758671998977661
cifar10,reconstruction,toric_PJ_R2,443,0,0,raw,reflect_padding,-0.003362152026966214,0.029834816232323647,0.4503549337387085,0.18944531679153442,0.13636672496795654,0.0088417436927557,0.39757558703422546,0.02642056904733181,0.08207609504461288,0.12074346840381622,0.5953245759010315,2.4144851509007163e-16,0.7510454654693604,0.3496840298175812,0.489990234375,0.6028848886489868,0.5867244601249695,0.29773691296577454,0.11553867161273956,0.6626830697059631,0.3373168706893921,-0.1758671998977661
cifar10,reconstruction,toric_PJ_R2,443,0,0,centered,interior_only,4.635916928119599e-10,0.029834816232323647,0.44752222299575806,0.04452880471944809,0.031179895624518394,0.008841742761433125,0.06297273188829422,0.1045735776424408,0.0795326828956604,0.12074346095323563,0.602884829044342,1.773907484814587e-16,0.7510454654693604,0.3496840298175812,0.4899902641773224,0.6028848886489868,0.5867244601249695,0.29773691296577454,0.11553869396448135,0.6626830697059631,0.3373168706893921,-0.1758671998977661
cifar10,reconstruction,toric_PJ_R2,443,0,0,centered,reflect_padding,4.635916928119599e-10,0.029834816232323647,0.44752222299575806,0.1894453465938568,0.13636672496795654,0.00884174183011055,0.3975755572319031,0.026420561596751213,0.0795326828956604,0.12074346095323563,0.602884829044342,1.773907484814587e-16,0.7510454654693604,0.3496840298175812,0.4899902641773224,0.6028848886489868,0.5867244601249695,0.29773691296577454,0.11553869396448135,0.6626830697059631,0.3373168706893921,-0.1758671998977661
cifar10,reconstruction,toric_PJ_R2,443,0,0,normalized,interior_only,1.1258655119306127e-09,0.06666667014360428,1.0,0.2223370373249054,0.15568453073501587,0.044147759675979614,0.31442955136299133,0.10457358509302139,0.39711514115333557,0.6028848886489868,0.6028848886489868,1.4210854397564648e-16,0.7510454654693604,0.3496840298175812,0.4899902045726776,0.6028849482536316,0.5867245197296143,0.29773691296577454,0.11553869396448135,0.6626831889152527,0.3373168706893921,-0.17586708068847656
cifar10,reconstruction,toric_PJ_R2,443,0,0,normalized,reflect_padding,1.1258655119306127e-09,0.06666667014360428,1.0,0.9459207057952881,0.6808935403823853,0.04414776340126991,1.985136866569519,0.02642056718468666,0.39711514115333557,0.6028848886489868,0.6028848886489868,1.4210854397564648e-16,0.7510454654693604,0.3496840298175812,0.4899902045726776,0.6028849482536316,0.5867245197296143,0.29773691296577454,0.11553869396448135,0.6626831889152527,0.3373168706893921,-0.17586708068847656
cifar10,reconstruction,toric_PJ_R2,443,0,1,raw,interior_only,-0.005966955330222845,0.02139311656355858,0.33314523100852966,0.016046874225139618,0.020718825981020927,0.003249622182920575,0.039799511432647705,0.0812094435095787,0.053222402930259705,0.05776333436369896,0.5204572677612305,5.989727973804271e-17,0.7209908962249756,0.3103296458721161,0.5794966220855713,0.5609468817710876,0.6779199838638306,0.25656360387802124,0.06551645696163177,0.8085711002349854,0.19142888486385345,-0.12786102294921875
cifar10,reconstruction,toric_PJ_R2,443,0,1,raw,reflect_padding,-0.005966955330222845,0.02139311656355858,0.33314523100852966,0.06049410253763199,0.0751681700348854,0.003249622182920575,0.15098464488983154,0.023393405601382256,0.053222402930259705,0.05776333436369896,0.5204572677612305,5.989727973804271e-17,0.7209908962249756,0.3103296458721161,0.5794966220855713,0.5609468817710876,0.6779199838638306,0.25656360387802124,0.06551645696163177,0.8085711002349854,0.19142888486385345,-0.12786102294921875
cifar10,reconstruction,toric_PJ_R2,443,0,1,centered,interior_only,3.642506019030378e-10,0.02139311656355858,0.3208967447280884,0.01604687236249447,0.020718825981020927,0.003249622182920575,0.039799511432647705,0.0812094509601593,0.04521138221025467,0.05776333436369896,0.5609467625617981,2.1563021963009905e-17,0.7209908962249756,0.3103296458721161,0.5794967412948608,0.5609468817710876,0.6779199838638306,0.25656360387802124,0.06551644951105118,0.8085711002349854,0.19142888486385345,-0.12786102294921875
cifar10,reconstruction,toric_PJ_R2,443,0,1,centered,reflect_padding,3.642506019030378e-10,0.02139311656355858,0.3208967447280884,0.06049409881234169,0.075168177485466,0.003249622182920575,0.15098464488983154,0.023393405601382256,0.04521138221025467,0.05776333436369896,0.5609467625617981,2.1563021963009905e-17,0.7209908962249756,0.3103296458721161,0.5794967412948608,0.5609468817710876,0.6779199838638306,0.25656360387802124,0.06551644951105118,0.8085711002349854,0.19142888486385345,-0.12786102294921875
