dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,reconstruction,toric_PJ_R2,443,0,0,1,-0.8377581238746643,0.0,4.179755687713623,0.09275538474321365,0.4996213912963867
cifar10,reconstruction,toric_PJ_R2,443,0,0,2,0.8377581238746643,0.0,4.179755687713623,0.09275538474321365,-0.4996213912963867
cifar10,reconstruction,toric_PJ_R2,443,0,0,3,0.0,0.8377581238746643,2.8436641693115234,0.06310540437698364,1.0471965074539185
cifar10,reconstruction,toric_PJ_R2,443,0,0,4,0.0,-0.8377581238746643,2.8436641693115234,0.06310540437698364,-1.0471965074539185
cifar10,reconstruction,toric_PJ_R2,443,0,0,5,-0.8377581238746643,-0.8377581238746643,1.7106684446334839,0.03796243667602539,2.978686571121216
cifar10,reconstruction,toric_PJ_R2,443,0,0,6,0.8377581238746643,0.8377581238746643,1.7106684446334839,0.03796243667602539,-2.978686571121216
cifar10,reconstruction,toric_PJ_R2,443,0,0,7,-1.2566372156143188,-0.41887906193733215,1.1944425106048584,0.026506567373871803,2.161170721054077
cifar10,reconstruction,toric_PJ_R2,443,0,0,8,1.2566372156143188,0.41887906193733215,1.1944425106048584,0.026506567373871803,-2.161170721054077
cifar10,reconstruction,toric_PJ_R2,443,0,1,1,-0.41887906193733215,0.0,1.5139257907867432,0.06534185260534286,2.865811586380005
cifar10,reconstruction,toric_PJ_R2,443,0,1,2,0.41887906193733215,0.0,1.5139257907867432,0.06534185260534286,-2.865811586380005
cifar10,reconstruction,toric_PJ_R2,443,0,1,3,0.0,-0.8377581238746643,1.3934471607208252,0.06014193221926689,-0.21335089206695557
cifar10,reconstruction,toric_PJ_R2,443,0,1,4,0.0,0.8377581238746643,1.3934471607208252,0.06014193221926689,0.21335089206695557
cifar10,reconstruction,toric_PJ_R2,443,0,1,5,-0.8377581238746643,0.0,1.3753788471221924,0.05936209484934807,-0.1495494395494461
cifar10,reconstruction,toric_PJ_R2,443,0,1,6,0.8377581238746643,0.0,1.3753788471221924,0.05936209484934807,0.1495494395494461
cifar10,reconstruction,toric_PJ_R2,443,0,1,7,0.41887906193733215,-0.41887906193733215,0.8864983916282654,0.03826174885034561,-0.24224106967449188
cifar10,reconstruction,toric_PJ_R2,443,0,1,8,-0.41887906193733215,0.41887906193733215,0.8864983916282654,0.03826174885034561,0.24224106967449188
cifar10,reconstruction,toric_PJ_R2,443,0,2,1,-0.8377581238746643,0.0,3.1024749279022217,0.07337453216314316,-0.7392237186431885
cifar10,reconstruction,toric_PJ_R2,443,0,2,2,0.8377581238746643,0.0,3.1024749279022217,0.07337453216314316,0.7392237186431885
cifar10,reconstruction,toric_PJ_R2,443,0,2,3,-0.41887906193733215,0.0,2.9655845165252686,0.07013703137636185,2.7712388038635254
cifar10,reconstruction,toric_PJ_R2,443,0,2,4,0.41887906193733215,0.0,2.9655845165252686,0.07013703137636185,-2.7712388038635254
cifar10,reconstruction,toric_PJ_R2,443,0,2,5,0.0,-0.8377581238746643,2.3256471157073975,0.055002301931381226,-0.16637901961803436
cifar10,reconstruction,toric_PJ_R2,443,0,2,6,0.0,0.8377581238746643,2.3256471157073975,0.055002301931381226,0.16637901961803436
cifar10,reconstruction,toric_PJ_R2,443,0,2,7,-1.2566372156143188,-0.41887906193733215,1.2809146642684937,0.030294043943285942,2.3809781074523926
cifar10,reconstruction,toric_PJ_R2,443,0,2,8,1.2566372156143188,0.41887906193733215,1.2809146642684937,0.030294043943285942,-2.3809781074523926
cifar10,reconstruction,toric_PJ_R2,443,0,3,1,0.8377581238746643,0.0,1.686610221862793,0.07559863477945328,1.0460004806518555
cifar10,reconstruction,toric_PJ_R2,443,0,3,2,-0.8377581238746643,0.0,1.686610221862793,0.07559863477945328,-1.0460004806518555
cifar10,reconstruction,toric_PJ_R2,443,0,3,3,0.41887906193733215,0.0,1.3088874816894531,0.05866803228855133,-2.9953019618988037
cifar10,reconstruction,toric_PJ_R2,443,0,3,4,-0.41887906193733215,0.0,1.3088874816894531,0.05866803228855133,2.9953019618988037
cifar10,reconstruction,toric_PJ_R2,443,0,3,5,0.0,0.8377581238746643,1.1912422180175781,0.05339483916759491,0.37501785159111023
cifar10,reconstruction,toric_PJ_R2,443,0,3,6,0.0,-0.8377581238746643,1.1912422180175781,0.05339483916759491,-0.37501785159111023
cifar10,reconstruction,toric_PJ_R2,443,0,3,7,0.41887906193733215,-0.41887906193733215,1.0737063884735107,0.04812655225396156,0.3871024250984192
cifar10,reconstruction,toric_PJ_R2,443,0,3,8,-0.41887906193733215,0.41887906193733215,1.0737063884735107,0.04812655225396156,-0.3871024250984192
cifar10,reconstruction,toric_PJ_R2,443,0,4,1,0.8377581238746643,0.0,2.68548583984375,0.08178272098302841,-0.1444767415523529
cifar10,reconstruction,toric_PJ_R2,443,0,4,2,-0.8377581238746643,0.0,2.68548583984375,0.08178272098302841,0.1444767415523529
cifar10,reconstruction,toric_PJ_R2,443,0,4,3,0.8377581238746643,0.8377581238746643,1.9033163785934448,0.05796283856034279,-2.532987356185913
cifar10,reconstruction,toric_PJ_R2,443,0,4,4,-0.8377581238746643,-0.8377581238746643,1.9033163785934448,0.05796283856034279,2.532987356185913
cifar10,reconstruction,toric_PJ_R2,443,0,4,5,0.0,0.8377581238746643,1.524342656135559,0.04642172530293465,0.9058176279067993
cifar10,reconstruction,toric_PJ_R2,443,0,4,6,0.0,-0.8377581238746643,1.524342656135559,0.04642172530293465,-0.9058176279067993
