dataset,task,basis,seed,step,metric,train_score,test_score,train_loss,test_loss,elapsed_sec
cifar10,reconstruction,axis_additive,426,0,masked_patch_r2,-0.42554032802581787,-0.4283313751220703,1.4343805313110352,1.424180030822754,0.6818807125091553
cifar10,reconstruction,axis_additive,426,1000,masked_patch_r2,0.4827346205711365,0.4820730686187744,0.5197148323059082,0.5158863067626953,87.04941439628601
cifar10,reconstruction,axis_additive,426,2000,masked_patch_r2,0.49911069869995117,0.503373384475708,0.5039643049240112,0.49542269110679626,179.8937714099884
cifar10,reconstruction,axis_additive,426,3000,masked_patch_r2,0.5617772340774536,0.5594191551208496,0.441853404045105,0.4386424124240875,269.36782717704773
cifar10,reconstruction,axis_additive,426,4000,masked_patch_r2,0.5860674381256104,0.5817420482635498,0.41627830266952515,0.4172947108745575,358.67559909820557
cifar10,reconstruction,axis_additive,426,5000,masked_patch_r2,0.5887712240219116,0.5862902402877808,0.41166621446609497,0.412820428609848,448.9636673927307
cifar10,reconstruction,axis_additive,426,6000,masked_patch_r2,0.5958871245384216,0.5947487354278564,0.4079074263572693,0.404572069644928,539.2960674762726
cifar10,reconstruction,axis_additive,426,7000,masked_patch_r2,0.6030430197715759,0.5960710644721985,0.398589551448822,0.40260049700737,629.1701471805573
cifar10,reconstruction,axis_additive,426,8000,masked_patch_r2,0.6049894690513611,0.6003081202507019,0.3968074321746826,0.39821407198905945,719.4404580593109
cifar10,reconstruction,axis_additive,426,9000,masked_patch_r2,0.606415331363678,0.6018453240394592,0.39570480585098267,0.3962498605251312,809.9102625846863
cifar10,reconstruction,axis_additive,426,9999,masked_patch_r2,0.609957218170166,0.6042166948318481,0.39212754368782043,0.3940108120441437,899.8987228870392
cifar10,reconstruction,toric_PJ_R2,443,0,masked_patch_r2,-0.6854343414306641,-0.6857351064682007,1.6936393976211548,1.6815319061279297,0.5058872699737549
cifar10,reconstruction,toric_PJ_R2,443,1000,masked_patch_r2,0.5827258825302124,0.5832002758979797,0.41994738578796387,0.4161299765110016,90.34393978118896
cifar10,reconstruction,toric_PJ_R2,443,2000,masked_patch_r2,0.6450660824775696,0.6441247463226318,0.35725128650665283,0.35489770770072937,181.03212976455688
cifar10,reconstruction,toric_PJ_R2,443,3000,masked_patch_r2,0.6733096837997437,0.6707004904747009,0.329315185546875,0.3283374607563019,271.1537320613861
cifar10,reconstruction,toric_PJ_R2,443,4000,masked_patch_r2,0.6902012825012207,0.6826357841491699,0.3121850788593292,0.31548041105270386,361.36412620544434
cifar10,reconstruction,toric_PJ_R2,443,5000,masked_patch_r2,0.6949508786201477,0.6883969902992249,0.30642616748809814,0.3099425435066223,451.903600692749
cifar10,reconstruction,toric_PJ_R2,443,6000,masked_patch_r2,0.6936942338943481,0.6896814107894897,0.3065314292907715,0.30878207087516785,542.3716771602631
cifar10,reconstruction,toric_PJ_R2,443,7000,masked_patch_r2,0.7019715309143066,0.692219078540802,0.3000403642654419,0.30667170882225037,632.8411350250244
cifar10,reconstruction,toric_PJ_R2,443,8000,masked_patch_r2,0.7006689310073853,0.6951839327812195,0.3010273873806,0.3047407865524292,723.1633412837982
cifar10,reconstruction,toric_PJ_R2,443,9000,masked_patch_r2,0.7013208866119385,0.698082685470581,0.29856663942337036,0.3003574311733246,813.532155752182
cifar10,reconstruction,toric_PJ_R2,443,9999,masked_patch_r2,0.7052909135818481,0.7010729908943176,0.2957439124584198,0.29827311635017395,903.8885688781738
