dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,0,1,0.8377581238746643,-0.8377581238746643,32.09574890136719,0.10350091755390167,-0.7375339269638062
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,0,2,-0.8377581238746643,0.8377581238746643,32.09574890136719,0.10350091755390167,0.7375339269638062
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,0,3,0.8377581238746643,0.8377581238746643,23.179611206054688,0.07474856078624725,1.3699504137039185
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,0,4,-0.8377581238746643,-0.8377581238746643,23.179611206054688,0.07474856078624725,-1.3699504137039185
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,0,5,-0.41887906193733215,-0.41887906193733215,17.127843856811523,0.05523309484124184,-1.7299561500549316
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,0,6,0.41887906193733215,0.41887906193733215,17.127843856811523,0.05523309484124184,1.7299561500549316
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,0,7,-0.41887906193733215,0.0,16.1669979095459,0.05213460326194763,3.0024404525756836
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,0,8,0.41887906193733215,0.0,16.1669979095459,0.05213460326194763,-3.0024404525756836
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,1,1,0.41887906193733215,0.0,38.98612594604492,0.09393934905529022,-2.921116352081299
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,1,2,-0.41887906193733215,0.0,38.98612594604492,0.09393934905529022,2.921116352081299
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,1,3,-0.8377581238746643,0.8377581238746643,26.181396484375,0.06308560818433762,-0.7402971386909485
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,1,4,0.8377581238746643,-0.8377581238746643,26.181396484375,0.06308560818433762,0.7402971386909485
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,1,5,-0.8377581238746643,-0.8377581238746643,23.360872268676758,0.05628938600420952,0.20916734635829926
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,1,6,0.8377581238746643,0.8377581238746643,23.360872268676758,0.05628938600420952,-0.20916734635829926
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,1,7,-0.41887906193733215,0.41887906193733215,22.27752113342285,0.05367898941040039,-0.8292803764343262
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,1,8,0.41887906193733215,-0.41887906193733215,22.27752113342285,0.05367898941040039,0.8292803764343262
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,2,1,0.41887906193733215,0.0,37.092674255371094,0.0692717507481575,-3.0396058559417725
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,2,2,-0.41887906193733215,0.0,37.092674255371094,0.0692717507481575,3.0396058559417725
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,2,3,0.8377581238746643,0.8377581238746643,31.17194175720215,0.058214589953422546,1.385352611541748
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,2,4,-0.8377581238746643,-0.8377581238746643,31.17194175720215,0.058214589953422546,-1.385352611541748
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,2,5,0.41887906193733215,0.8377581238746643,26.71945571899414,0.04989943280816078,-2.1601600646972656
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,2,6,-0.41887906193733215,-0.8377581238746643,26.71945571899414,0.04989943280816078,2.1601600646972656
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,2,7,0.0,0.41887906193733215,25.852418899536133,0.04828021302819252,-3.089045763015747
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,2,8,0.0,-0.41887906193733215,25.852418899536133,0.04828021302819252,3.089045763015747
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,3,1,0.41887906193733215,0.0,37.169525146484375,0.10281211882829666,-2.770982265472412
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,3,2,-0.41887906193733215,0.0,37.169525146484375,0.10281211882829666,2.770982265472412
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,3,3,0.8377581238746643,-0.8377581238746643,27.839115142822266,0.07700390368700027,-0.6577800512313843
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,3,4,-0.8377581238746643,0.8377581238746643,27.839115142822266,0.07700390368700027,0.6577800512313843
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,3,5,-0.41887906193733215,0.41887906193733215,17.36865997314453,0.048042282462120056,0.7409406304359436
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,3,6,0.41887906193733215,-0.41887906193733215,17.36865997314453,0.048042282462120056,-0.7409406304359436
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,3,7,0.8377581238746643,0.8377581238746643,15.628371238708496,0.04322858527302742,0.42214280366897583
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,3,8,-0.8377581238746643,-0.8377581238746643,15.628371238708496,0.04322858527302742,-0.42214280366897583
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,4,1,0.41887906193733215,0.0,47.5770378112793,0.16682523488998413,-2.95184063911438
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,4,2,-0.41887906193733215,0.0,47.5770378112793,0.16682523488998413,2.95184063911438
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,4,3,0.0,0.41887906193733215,15.565340042114258,0.05457867309451103,-2.9515562057495117
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,4,4,0.0,-0.41887906193733215,15.565340042114258,0.05457867309451103,2.9515562057495117
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,4,5,-0.8377581238746643,-0.8377581238746643,11.242888450622559,0.039422325789928436,0.2246830016374588
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,0,4,6,0.8377581238746643,0.8377581238746643,11.242888450622559,0.039422325789928436,-0.2246830016374588
