dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,reconstruction,dct_top55,443,0,0,1,0.41887906193733215,0.0,17.031057357788086,0.11243686825037003,-3.092594861984253
cifar10,reconstruction,dct_top55,443,0,0,2,-0.41887906193733215,0.0,17.031057357788086,0.11243686825037003,3.092594861984253
cifar10,reconstruction,dct_top55,443,0,0,3,-0.8377581238746643,0.0,11.1705322265625,0.07374642789363861,-0.7678948044776917
cifar10,reconstruction,dct_top55,443,0,0,4,0.8377581238746643,0.0,11.1705322265625,0.07374642789363861,0.7678948044776917
cifar10,reconstruction,dct_top55,443,0,0,5,0.0,0.41887906193733215,9.390804290771484,0.06199688836932182,-1.641890525817871
cifar10,reconstruction,dct_top55,443,0,0,6,0.0,-0.41887906193733215,9.390804290771484,0.06199688836932182,1.641890525817871
cifar10,reconstruction,dct_top55,443,0,0,7,0.0,-0.8377581238746643,4.399648666381836,0.029045918956398964,-0.9349128007888794
cifar10,reconstruction,dct_top55,443,0,0,8,0.0,0.8377581238746643,4.399648666381836,0.029045918956398964,0.9349128007888794
cifar10,reconstruction,dct_top55,443,0,1,1,0.41887906193733215,0.0,19.293624877929688,0.1411179155111313,3.0712215900421143
cifar10,reconstruction,dct_top55,443,0,1,2,-0.41887906193733215,0.0,19.293624877929688,0.1411179155111313,-3.0712215900421143
cifar10,reconstruction,dct_top55,443,0,1,3,0.0,0.8377581238746643,6.506478786468506,0.047589853405952454,-0.04202239215373993
cifar10,reconstruction,dct_top55,443,0,1,4,0.0,-0.8377581238746643,6.506478786468506,0.047589853405952454,0.04202239215373993
cifar10,reconstruction,dct_top55,443,0,1,5,0.8377581238746643,0.0,5.337472438812256,0.039039477705955505,0.40519195795059204
cifar10,reconstruction,dct_top55,443,0,1,6,-0.8377581238746643,0.0,5.337472438812256,0.039039477705955505,-0.40519195795059204
cifar10,reconstruction,dct_top55,443,0,1,7,0.0,0.41887906193733215,4.6028313636779785,0.03366614505648613,2.8092775344848633
cifar10,reconstruction,dct_top55,443,0,1,8,0.0,-0.41887906193733215,4.6028313636779785,0.03366614505648613,-2.8092775344848633
cifar10,reconstruction,dct_top55,443,0,2,1,0.41887906193733215,0.0,26.94831657409668,0.1604905128479004,-2.7716240882873535
cifar10,reconstruction,dct_top55,443,0,2,2,-0.41887906193733215,0.0,26.94831657409668,0.1604905128479004,2.7716240882873535
cifar10,reconstruction,dct_top55,443,0,2,3,1.2566372156143188,0.0,5.3168792724609375,0.031664635986089706,-1.8084181547164917
cifar10,reconstruction,dct_top55,443,0,2,4,-1.2566372156143188,0.0,5.3168792724609375,0.031664635986089706,1.8084181547164917
cifar10,reconstruction,dct_top55,443,0,2,5,0.0,0.41887906193733215,4.4090704917907715,0.026258187368512154,-2.794102430343628
