dataset,task,basis,seed,layer,head,gauge,boundary,bias_mean,bias_std,bias_norm,E_xx,E_yy,E_xy,E_lap,mixed_ratio,E_axial,E_obl,obl_ratio,dc_mass_ratio,spectral_entropy,topk_spectral_mass,topk_dct_mass,diagonal_atom_ratio,low_radial_mass,mid_radial_mass,high_radial_mass,even_spectral_mass,odd_spectral_mass,complex_pair_consistency
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,0,raw,interior_only,-0.0264328271150589,0.10627049207687378,1.6426273584365845,1.3033430576324463,2.0701889991760254,0.19082587957382202,3.6524689197540283,0.053537238389253616,1.2870018482208252,1.4112234115600586,0.5230191946029663,0.0,0.6862459182739258,0.25165459513664246,0.41919195652008057,0.5553770065307617,0.7288827300071716,0.23696967959403992,0.03414759039878845,0.6166749000549316,0.3833250403404236,0.24951863288879395
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,0,raw,reflect_padding,-0.0264328271150589,0.10627049207687378,1.6426273584365845,1.6435174942016602,2.4741008281707764,0.19082587957382202,4.816153049468994,0.04429113119840622,1.2870018482208252,1.4112234115600586,0.5230191946029663,0.0,0.6862459182739258,0.25165459513664246,0.41919195652008057,0.5553770065307617,0.7288827300071716,0.23696967959403992,0.03414759039878845,0.6166749000549316,0.3833250403404236,0.24951863288879395
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,0,centered,interior_only,-2.4504132056790695e-09,0.10627048462629318,1.5940574407577515,1.3033429384231567,2.0701889991760254,0.19082587957382202,3.6524689197540283,0.053537242114543915,1.1297951936721802,1.4112234115600586,0.5553770065307617,2.2370325425443284e-16,0.6862459182739258,0.25165459513664246,0.41919195652008057,0.5553770065307617,0.7288827300071716,0.23696967959403992,0.03414759784936905,0.6166749000549316,0.3833250403404236,0.24951863288879395
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,0,centered,reflect_padding,-2.4504132056790695e-09,0.10627048462629318,1.5940574407577515,1.6435173749923706,2.4741005897521973,0.19082587957382202,4.816152572631836,0.04429113492369652,1.1297951936721802,1.4112234115600586,0.5553770065307617,2.2370325425443284e-16,0.6862459182739258,0.25165459513664246,0.41919195652008057,0.5553770065307617,0.7288827300071716,0.23696967959403992,0.03414759784936905,0.6166749000549316,0.3833250403404236,0.24951863288879395
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,0,normalized,interior_only,-6.622738468742284e-10,0.06666666269302368,0.9999998807907104,0.5129213333129883,0.8147081136703491,0.07509816437959671,1.4374030828475952,0.053537238389253616,0.4446229934692383,0.5553768873214722,0.5553769469261169,9.868650504795315e-17,0.6862459182739258,0.25165456533432007,0.4191919267177582,0.5553770065307617,0.7288826704025269,0.2369696944952011,0.034147582948207855,0.6166749000549316,0.3833250403404236,0.24951869249343872
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,0,normalized,reflect_padding,-6.622738468742284e-10,0.06666666269302368,0.9999998807907104,0.6467945575714111,0.9736647605895996,0.07509816437959671,1.895362377166748,0.04429113492369652,0.4446229934692383,0.5553768873214722,0.5553769469261169,9.868650504795315e-17,0.6862459182739258,0.25165456533432007,0.4191919267177582,0.5553770065307617,0.7288826704025269,0.2369696944952011,0.034147582948207855,0.6166749000549316,0.3833250403404236,0.24951869249343872
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,1,raw,interior_only,-0.029034564271569252,0.06927180290222168,1.1266576051712036,0.7594922780990601,0.5081365704536438,0.05294341221451759,1.2670469284057617,0.04009126126766205,0.8795888423919678,0.38976845145225525,0.3070596754550934,5.849816659763581e-17,0.6214605569839478,0.41554564237594604,0.5471923351287842,0.36100339889526367,0.8155732154846191,0.1528647541999817,0.031562115997076035,0.7416991591453552,0.25830090045928955,0.15501761436462402
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,1,raw,reflect_padding,-0.029034564271569252,0.06927180290222168,1.1266576051712036,0.8518496751785278,0.7255530953407288,0.05294341221451759,1.7864460945129395,0.032473720610141754,0.8795888423919678,0.38976845145225525,0.3070596754550934,5.849816659763581e-17,0.6214605569839478,0.41554564237594604,0.5471923351287842,0.36100339889526367,0.8155732154846191,0.1528647541999817,0.031562115997076035,0.7416991591453552,0.25830090045928955,0.15501761436462402
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,1,centered,interior_only,3.9736430812453705e-10,0.06927180290222168,1.0390769243240356,0.7594922780990601,0.508136510848999,0.05294341593980789,1.2670468091964722,0.040091268718242645,0.6899125576019287,0.3897685110569,0.36100342869758606,5.849816659763581e-17,0.6214605569839478,0.41554564237594604,0.5471923351287842,0.36100339889526367,0.8155732154846191,0.1528647541999817,0.031562115997076035,0.7416991591453552,0.25830090045928955,0.15501761436462402
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,0,1,centered,reflect_padding,3.9736430812453705e-10,0.06927180290222168,1.0390769243240356,0.8518497347831726,0.725553035736084,0.05294341593980789,1.7864460945129395,0.03247372433543205,0.6899125576019287,0.3897685110569,0.36100342869758606,5.849816659763581e-17,0.6214605569839478,0.41554564237594604,0.5471923351287842,0.36100339889526367,0.8155732154846191,0.1528647541999817,0.031562115997076035,0.7416991591453552,0.25830090045928955,0.15501761436462402
