dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,0,1,-0.8377581238746643,-0.8377581238746643,57.45993423461914,0.03321735933423042,-0.19370827078819275
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,0,2,0.8377581238746643,0.8377581238746643,57.45993423461914,0.03321735933423042,0.19370827078819275
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,0,3,0.0,-0.8377581238746643,49.887359619140625,0.028839683160185814,0.38180214166641235
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,0,4,0.0,0.8377581238746643,49.887359619140625,0.028839683160185814,-0.38180214166641235
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,0,5,0.8377581238746643,-0.8377581238746643,48.15509033203125,0.027838265523314476,0.8775497078895569
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,0,6,-0.8377581238746643,0.8377581238746643,48.15509033203125,0.027838265523314476,-0.8775497078895569
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,0,7,-0.41887906193733215,-0.8377581238746643,47.17535400390625,0.027271883562207222,-3.067340612411499
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,0,8,0.41887906193733215,0.8377581238746643,47.17535400390625,0.027271883562207222,3.067340612411499
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,1,1,-0.41887906193733215,0.0,26.36446189880371,0.05679257959127426,2.6802632808685303
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,1,2,0.41887906193733215,0.0,26.36446189880371,0.05679257959127426,-2.6802632808685303
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,1,3,0.8377581238746643,-0.8377581238746643,18.383878707885742,0.03960133716464043,0.8725790977478027
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,0,1,4,-0.8377581238746643,0.8377581238746643,18.383878707885742,0.03960133716464043,-0.8725790977478027
