dataset,task,basis,seed,step,metric,train_score,test_score,train_loss,test_loss,elapsed_sec
cifar10,reconstruction,dct_top33,426,0,masked_patch_r2,-0.41754698753356934,-0.42045092582702637,1.4263372421264648,1.4163211584091187,0.6347842216491699
cifar10,reconstruction,dct_top33,426,1000,masked_patch_r2,0.6727607250213623,0.6719627380371094,0.3287883996963501,0.32669931650161743,86.75323057174683
cifar10,reconstruction,dct_top33,426,2000,masked_patch_r2,0.747563362121582,0.7488062381744385,0.25398555397987366,0.25053614377975464,179.16908168792725
cifar10,reconstruction,dct_top33,426,3000,masked_patch_r2,0.7918871641159058,0.7905033826828003,0.20983044803142548,0.20852871239185333,268.5910749435425
cifar10,reconstruction,dct_top33,426,4000,masked_patch_r2,0.8131006956100464,0.8110830187797546,0.18795457482337952,0.18847672641277313,357.7255046367645
cifar10,reconstruction,dct_top33,426,5000,masked_patch_r2,0.8187414407730103,0.8198056221008301,0.18145447969436646,0.17974983155727386,447.7375180721283
cifar10,reconstruction,dct_top33,426,6000,masked_patch_r2,0.8269519805908203,0.8263770341873169,0.17467454075813293,0.1733388751745224,538.1557037830353
cifar10,reconstruction,dct_top33,426,7000,masked_patch_r2,0.8336660861968994,0.8303288817405701,0.16701790690422058,0.1691201776266098,628.2140002250671
cifar10,reconstruction,dct_top33,426,8000,masked_patch_r2,0.8378530144691467,0.8363412618637085,0.16288259625434875,0.16307266056537628,718.3548920154572
cifar10,reconstruction,dct_top33,426,9000,masked_patch_r2,0.8412693738937378,0.8395636081695557,0.15958642959594727,0.1595781147480011,808.6265871524811
cifar10,reconstruction,dct_top33,426,9999,masked_patch_r2,0.8449878692626953,0.8438616394996643,0.15584006905555725,0.15538759529590607,898.5660891532898
cifar10,reconstruction,dct_top55,443,0,masked_patch_r2,-0.6761351823806763,-0.6766283512115479,1.6842939853668213,1.672441840171814,0.5070400238037109
cifar10,reconstruction,dct_top55,443,1000,masked_patch_r2,0.708943247795105,0.7082005739212036,0.29292136430740356,0.29128754138946533,90.43356490135193
cifar10,reconstruction,dct_top55,443,2000,masked_patch_r2,0.7709068059921265,0.7708010077476501,0.23058825731277466,0.22853215038776398,181.02282881736755
cifar10,reconstruction,dct_top55,443,3000,masked_patch_r2,0.7993036508560181,0.7985779047012329,0.20230922102928162,0.2007761299610138,270.90926933288574
cifar10,reconstruction,dct_top55,443,4000,masked_patch_r2,0.8147232532501221,0.8116070032119751,0.1867026686668396,0.1872970461845398,361.09898686408997
cifar10,reconstruction,dct_top55,443,5000,masked_patch_r2,0.8197765350341797,0.8160491585731506,0.18103700876235962,0.18298235535621643,451.47548389434814
cifar10,reconstruction,dct_top55,443,6000,masked_patch_r2,0.8193012475967407,0.8177649974822998,0.1808333396911621,0.18133890628814697,541.5727503299713
cifar10,reconstruction,dct_top55,443,7000,masked_patch_r2,0.8257918357849121,0.8207725286483765,0.1753864288330078,0.17857129871845245,631.715814113617
cifar10,reconstruction,dct_top55,443,8000,masked_patch_r2,0.8268316984176636,0.8241264820098877,0.17415082454681396,0.1757730096578598,722.0361804962158
cifar10,reconstruction,dct_top55,443,9000,masked_patch_r2,0.8264321088790894,0.8258273601531982,0.17349930107593536,0.17328177392482758,812.2422087192535
cifar10,reconstruction,dct_top55,443,9999,masked_patch_r2,0.8285194039344788,0.8275274038314819,0.17207950353622437,0.17208924889564514,902.6063725948334
cifar10,reconstruction,table_informed_toric_PJ_R0_top55,460,0,masked_patch_r2,-0.5657018423080444,-0.5683428049087524,1.5719603300094604,1.5639842748641968,0.5070803165435791
cifar10,reconstruction,table_informed_toric_PJ_R0_top55,460,1000,masked_patch_r2,0.6751000881195068,0.6784130930900574,0.3254469633102417,0.3211818039417267,90.68977332115173
cifar10,reconstruction,table_informed_toric_PJ_R0_top55,460,2000,masked_patch_r2,0.7667931318283081,0.7663493156433105,0.23487189412117004,0.23279006779193878,181.26385068893433
cifar10,reconstruction,table_informed_toric_PJ_R0_top55,460,3000,masked_patch_r2,0.7897900342941284,0.7893970608711243,0.21196326613426208,0.20941686630249023,271.26713824272156
cifar10,reconstruction,table_informed_toric_PJ_R0_top55,460,4000,masked_patch_r2,0.8026290535926819,0.7985295057296753,0.1986789107322693,0.20010097324848175,361.48650431632996
cifar10,reconstruction,table_informed_toric_PJ_R0_top55,460,5000,masked_patch_r2,0.8053449988365173,0.8048164248466492,0.1960183084011078,0.1946382373571396,451.9047911167145
