dataset,task,basis,seed,metric,score_mode,score,loss,train_score,train_loss,final_score,final_loss,final_train_score,final_train_loss,best_score,best_loss,best_train_score,best_train_loss,best_step,num_features,param_count,wall_sec,coeff_norm,order0_coeff_share,bias_bias_table_npz,bias_geometry_metrics,bias_geometry_aggregate,bias_spectral_peaks,bias_report,bias_bias_utility,teacher_bias,teacher_basis,teacher_seed,teacher_init,teacher_init_r2_mean,order1_coeff_share,order2_coeff_share
cifar10,reconstruction,dct_top33,426,masked_patch_r2,best,0.8438616394996643,0.15538759529590607,0.8449878692626953,0.15584006905555725,0.8436225652694702,0.15596769750118256,0.8446378707885742,0.15631654858589172,0.8438616394996643,0.15538759529590607,0.8449878692626953,0.15584006905555725,9999,34,7146394,899.0243272781372,43.06253433227539,1.0,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed426_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed426_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed426_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed426_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed426_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed426_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8038822136884686,,
cifar10,reconstruction,dct_top55,443,masked_patch_r2,best,0.8275274038314819,0.17208924889564514,0.8285194039344788,0.17207950353622437,0.8278971910476685,0.1715938150882721,0.828856885433197,0.1722615361213684,0.8275274038314819,0.17208924889564514,0.8285194039344788,0.17207950353622437,9999,56,7147450,903.0682938098907,41.50446701049805,1.0,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top55_seed443_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top55_seed443_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top55_seed443_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top55_seed443_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top55_seed443_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top55_seed443_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8649237049209768,,
cifar10,reconstruction,table_informed_toric_PJ_R0_top55,460,masked_patch_r2,best,0.8133466243743896,0.18634068965911865,0.8147424459457397,0.1865329146385193,0.8138481974601746,0.18547658622264862,0.8154445290565491,0.18587146699428558,0.8133466243743896,0.18634068965911865,0.8147424459457397,0.1865329146385193,9999,55,7147402,903.5188200473785,37.170108795166016,1.0,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top55_seed460_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top55_seed460_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top55_seed460_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top55_seed460_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top55_seed460_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top55_seed460_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.7374327787508052,,
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,477,masked_patch_r2,best,0.8631461262702942,0.13649581372737885,0.8631942272186279,0.13739943504333496,0.8645698428153992,0.1350582391023636,0.8652932047843933,0.1350814402103424,0.8631461262702942,0.13649581372737885,0.8631942272186279,0.13739943504333496,9000,109,7149994,904.4135828018188,47.42359161376953,1.0,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed477_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed477_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed477_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed477_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed477_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed477_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8030440500663132,,
cifar10,reconstruction,axis_plus_toric_residual_R0_top55,494,masked_patch_r2,best,0.8647356033325195,0.13491161167621613,0.8648330569267273,0.13565132021903992,0.863761842250824,0.13571909070014954,0.8649575114250183,0.13545110821723938,0.8647356033325195,0.13491161167621613,0.8648330569267273,0.13565132021903992,9999,55,7147402,902.8455917835236,54.8043212890625,1.0,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R0_top55_seed494_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R0_top55_seed494_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R0_top55_seed494_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R0_top55_seed494_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R0_top55_seed494_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R0_top55_seed494_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.7843387872843587,,
cifar10,reconstruction,axis_plus_toric_residual_R2_top55,511,masked_patch_r2,best,0.8229154348373413,0.17651896178722382,0.829456090927124,0.1706744283437729,0.8224785327911377,0.17689213156700134,0.8296523690223694,0.17076030373573303,0.8229154348373413,0.17651896178722382,0.829456090927124,0.1706744283437729,9999,47,7147018,889.8951425552368,33287608.0,1.3511491943063447e-06,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R2_top55_seed511_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R2_top55_seed511_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R2_top55_seed511_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R2_top55_seed511_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R2_top55_seed511_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_axis_plus_toric_residual_R2_top55_seed511_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.7577663576565487,0.9754685163497925,0.2201387882232666
cifar10,reconstruction,dct_top33,526,masked_patch_r2,best,0.8523311018943787,0.14690522849559784,0.8530988693237305,0.14754638075828552,0.8518316149711609,0.14773960411548615,0.8532254695892334,0.14785680174827576,0.8523311018943787,0.14690522849559784,0.8530988693237305,0.14754638075828552,9999,34,7146394,896.310949087143,43.49726104736328,1.0,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed526_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed526_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed526_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed526_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed526_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed526_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8038822136884686,,
cifar10,reconstruction,dct_top33,626,masked_patch_r2,best,0.844291627407074,0.15524260699748993,0.8465948700904846,0.15439903736114502,0.8450534343719482,0.15433192253112793,0.8462288975715637,0.15411102771759033,0.844291627407074,0.15524260699748993,0.8465948700904846,0.15439903736114502,9999,34,7146394,901.3624258041382,44.57626724243164,1.0,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed626_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed626_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed626_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed626_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed626_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_dct_top33_seed626_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8038822136884686,,
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,577,masked_patch_r2,best,0.8651331663131714,0.1346534937620163,0.8660142421722412,0.13425034284591675,0.8665660619735718,0.13325238227844238,0.8666091561317444,0.13421893119812012,0.8651331663131714,0.1346534937620163,0.8660142421722412,0.13425034284591675,9999,109,7149994,903.2419202327728,50.74515151977539,1.0,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed577_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed577_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed577_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed577_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed577_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed577_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8030440500663132,,
cifar10,reconstruction,table_informed_toric_PJ_R0_top110,677,masked_patch_r2,best,0.8701905012130737,0.12972156703472137,0.8707430362701416,0.1298796832561493,0.8707109093666077,0.1288308948278427,0.8734276294708252,0.12717205286026,0.8701905012130737,0.12972156703472137,0.8707430362701416,0.1298796832561493,8000,109,7149994,903.5949494838715,52.158321380615234,1.0,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed677_steps10000/bias_tables.npz,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed677_steps10000/geometry_metrics.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed677_steps10000/geometry_aggregate.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed677_steps10000/spectral_peaks.csv,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed677_steps10000/REPORT.md,results/v4_metric_toric_pj_cifar10_10k/bias_exports/cifar10_reconstruction_table_informed_toric_PJ_R0_top110_seed677_steps10000/bias_utility.csv,results/v4_cifar10_bias_export_10k/bias_exports/cifar10_reconstruction_relative_2d_table_seed477_steps10000/bias_tables.npz,relative_2d_table,477,True,0.8030440500663132,,
