dataset,task,basis,gauge,boundary,n,bias_mean_mean,bias_mean_std,bias_std_mean,bias_std_std,bias_norm_mean,bias_norm_std,E_xx_mean,E_xx_std,E_yy_mean,E_yy_std,E_xy_mean,E_xy_std,E_lap_mean,E_lap_std,mixed_ratio_mean,mixed_ratio_std,E_axial_mean,E_axial_std,E_obl_mean,E_obl_std,obl_ratio_mean,obl_ratio_std,dc_mass_ratio_mean,dc_mass_ratio_std,spectral_entropy_mean,spectral_entropy_std,topk_spectral_mass_mean,topk_spectral_mass_std,topk_dct_mass_mean,topk_dct_mass_std,diagonal_atom_ratio_mean,diagonal_atom_ratio_std,low_radial_mass_mean,low_radial_mass_std,mid_radial_mass_mean,mid_radial_mass_std,high_radial_mass_mean,high_radial_mass_std,even_spectral_mass_mean,even_spectral_mass_std,odd_spectral_mass_mean,odd_spectral_mass_std,complex_pair_consistency_mean,complex_pair_consistency_std
cifar10,reconstruction,axis_additive,centered,interior_only,48,-1.6643077721823402e-11,2.355606830342768e-10,0.018163603206630796,0.00608336165200759,0.2724540500591199,0.09125042997039187,0.01189696233268478,0.010628488298684019,0.0041481778650146834,0.003825971288173976,6.27306609743085e-16,5.707595753081101e-16,0.014199106527181963,0.012199963895859294,4.1431803004505226e-14,1.4164861204347766e-14,0.08255784966362019,0.06798994898569596,2.7625185117351485e-15,2.9688308040575574e-15,3.160498930103611e-14,6.1589933889134274e-15,1.4417997178094386e-16,1.7439450175748828e-16,0.3493311017130812,0.0360626390918804,0.8757146149873734,0.04456906602251328,0.9314943899710973,0.026412749048987723,3.109885263375211e-14,5.9862350392279065e-15,0.9441198048492273,0.02733761676238443,0.04567870212486014,0.020923534082185155,0.01020148803096769,0.00641920627575936,0.5172749202077588,0.22327277401221712,0.4827250752132386,0.22327276463009157,-0.010341684023539225,0.023583835756853057
cifar10,reconstruction,axis_additive,centered,reflect_padding,48,-1.6643077721823402e-11,2.355606830342768e-10,0.018163603206630796,0.00608336165200759,0.2724540500591199,0.09125042997039187,0.02522430190826223,0.027915927306642167,0.011228084248917488,0.009880560760942993,6.275205561483456e-16,5.709316867300942e-16,0.03674570447765291,0.03673920580593484,1.915452568356504e-14,5.765964357589491e-15,0.08255784966362019,0.06798994898569596,2.7625185117351485e-15,2.9688308040575574e-15,3.160498930103611e-14,6.1589933889134274e-15,1.4417997178094386e-16,1.7439450175748828e-16,0.3493311017130812,0.0360626390918804,0.8757146149873734,0.04456906602251328,0.9314943899710973,0.026412749048987723,3.109885263375211e-14,5.9862350392279065e-15,0.9441198048492273,0.02733761676238443,0.04567870212486014,0.020923534082185155,0.01020148803096769,0.00641920627575936,0.5172749202077588,0.22327277401221712,0.4827250752132386,0.22327276463009157,-0.010341684023539225,0.023583835756853057
cifar10,reconstruction,axis_additive,normalized,interior_only,48,1.25901035835189e-11,8.181410592893756e-10,0.06666666672875483,3.7123327277294667e-09,0.9999999726812044,3.641565218223924e-08,0.13390393833590983,0.060588384591629144,0.05363029158130909,0.02146825122109746,7.518783000458087e-15,2.025260446732422e-15,0.1648548503095905,0.035680165293213086,4.1991467707132726e-14,1.3931442222783615e-14,1.000000002483527,1.0392306224955954e-07,3.2869735487437683e-14,5.805814867698844e-15,3.286973566390288e-14,5.805814696631253e-15,1.4116793833909334e-16,1.9526371138378545e-16,0.34933110419660807,0.03606264474807337,0.8757146274050077,0.044569076881012054,0.9314943874875704,0.026412735430399622,3.233647050772853e-14,6.392316292013003e-15,0.9441198060909907,0.027337609102334334,0.045678702532313764,0.020923533507621543,0.010201488362023762,0.006419207220861533,0.5172749138437212,0.2232727713991966,0.48272508250859875,0.2232727752858824,-0.01034168154001236,0.023583828553154378
cifar10,reconstruction,axis_additive,normalized,reflect_padding,48,1.25901035835189e-11,8.181410592893756e-10,0.06666666672875483,3.7123327277294667e-09,0.9999999726812044,3.641565218223924e-08,0.260973060852848,0.14545118244965577,0.14548128990766904,0.05550732475015976,7.521988323125914e-15,2.0255196984373007e-15,0.4087795376156767,0.10842718351875462,1.9451370179875323e-14,5.871439325732149e-15,1.000000002483527,1.0392306224955954e-07,3.2869735487437683e-14,5.805814867698844e-15,3.286973566390288e-14,5.805814696631253e-15,1.4116793833909334e-16,1.9526371138378545e-16,0.34933110419660807,0.03606264474807337,0.8757146274050077,0.044569076881012054,0.9314943874875704,0.026412735430399622,3.233647050772853e-14,6.392316292013003e-15,0.9441198060909907,0.027337609102334334,0.045678702532313764,0.020923533507621543,0.010201488362023762,0.006419207220861533,0.5172749138437212,0.2232727713991966,0.48272508250859875,0.2232727752858824,-0.01034168154001236,0.023583828553154378
cifar10,reconstruction,axis_additive,raw,interior_only,48,-0.0037062195915495977,0.0018451890035946128,0.018163603206630796,0.006083361590908659,0.27843458484858274,0.09427995374689002,0.011896962480022921,0.010628488411398641,0.004148177855313406,0.0038259710411957994,6.208618694012139e-16,5.757425553266973e-16,0.014199106619344093,0.012199963984774824,4.105200786580954e-14,1.4082644766945805e-14,0.08641452707039814,0.07245673406919943,2.8344526855190465e-15,3.0187437666305877e-15,3.136118346678405e-14,5.434793638528924e-15,2.3599071211718536e-16,3.4198464118519324e-16,0.3493311017130812,0.03606263914127443,0.8757146162291368,0.044569063013922994,0.9314943812787533,0.02641274329170906,3.114251178234803e-14,6.097278351152867e-15,0.9441198048492273,0.027337616882586496,0.04567870185322439,0.020923534138677265,0.010201488148595672,0.006419206193599344,0.5172749202077588,0.22327277401221712,0.48272507552367944,0.22327276446648175,-0.010341682781775793,0.023583836301376913
cifar10,reconstruction,axis_additive,raw,reflect_padding,48,-0.0037062195915495977,0.0018451890035946128,0.018163603206630796,0.006083361590908659,0.27843458484858274,0.09427995374689002,0.025224301760317758,0.027915925678323315,0.011228084355631532,0.009880560761486516,6.210936829077056e-16,5.758626655054918e-16,0.036745704419445246,0.036739205754981484,1.9006260348263378e-14,5.8427128515644004e-15,0.08641452707039814,0.07245673406919943,2.8344526855190465e-15,3.0187437666305877e-15,3.136118346678405e-14,5.434793638528924e-15,2.3599071211718536e-16,3.4198464118519324e-16,0.3493311017130812,0.03606263914127443,0.8757146162291368,0.044569063013922994,0.9314943812787533,0.02641274329170906,3.114251178234803e-14,6.097278351152867e-15,0.9441198048492273,0.027337616882586496,0.04567870185322439,0.020923534138677265,0.010201488148595672,0.006419206193599344,0.5172749202077588,0.22327277401221712,0.48272507552367944,0.22327276446648175,-0.010341682781775793,0.023583836301376913
cifar10,reconstruction,pruned_toric_PJ,centered,interior_only,48,5.001545184957212e-12,5.95988341099327e-10,0.05352318054065108,0.022474900278173986,0.802847716336449,0.3371235049624242,0.10829323332291096,0.07436856360711365,0.14429236630288264,0.13522219240960892,0.037221439027537905,0.029428303868573723,0.19642262300476432,0.14276545592124165,0.12174232847367723,0.024889038705792184,0.09837592532858253,0.09561748920502881,0.6598407886146257,0.5186210959711988,0.7932820195953051,0.15726695090281978,5.550299114244408e-17,6.5059823670307e-17,0.6408338739226261,0.08128496471660085,0.490397325096031,0.13322831801432375,0.5893902791043123,0.10142268460500085,0.793281993518273,0.1572669367181227,0.7097064976890882,0.10028384986580467,0.21840092415610948,0.07241065238466673,0.07189256073130916,0.0341520326542353,0.754599512865146,0.14596389186037897,0.24540049179146686,0.14596389145446997,-0.016257394105196,0.1593110708741941
cifar10,reconstruction,pruned_toric_PJ,centered,reflect_padding,48,5.001545184957212e-12,5.95988341099327e-10,0.05352318054065108,0.022474900278173986,0.802847716336449,0.3371235049624242,0.444906780263409,0.31363061441418977,0.426542467980956,0.3882746000478661,0.037221438969330244,0.02942830438153613,1.1463779642557104,0.8794551089347881,0.03943471059513589,0.008515802459302696,0.09837592532858253,0.09561748920502881,0.6598407886146257,0.5186210959711988,0.7932820195953051,0.15726695090281978,5.550299114244408e-17,6.5059823670307e-17,0.6408338739226261,0.08128496471660085,0.490397325096031,0.13322831801432375,0.5893902791043123,0.10142268460500085,0.793281993518273,0.1572669367181227,0.7097064976890882,0.10028384986580467,0.21840092415610948,0.07241065238466673,0.07189256073130916,0.0341520326542353,0.754599512865146,0.14596389186037897,0.24540049179146686,0.14596389145446997,-0.016257394105196,0.1593110708741941
cifar10,reconstruction,pruned_toric_PJ,normalized,interior_only,48,-1.0175561955538814e-10,7.200006582517353e-10,0.06666666641831398,3.725290298461914e-09,0.9999999764064947,4.1687017509327625e-08,0.16249883376682797,0.059576341605295596,0.1813502530567348,0.056946843968178514,0.04732000703612963,0.009510516086556255,0.2766341045498848,0.05530400328709927,0.12174232800801595,0.02488903998647403,0.20671798684634268,0.1572669501942041,0.7932820158700148,0.15726696191933634,0.7932820171117783,0.15726695353908948,9.366125356033575e-17,1.8329676854467704e-16,0.640833885098497,0.0812849640439897,0.4903973226125042,0.13322832043522267,0.5893902747581402,0.1014226891214888,0.7932820077985525,0.1572669566782114,0.7097065175573031,0.10028385978085586,0.21840092508743206,0.07241064485565045,0.07189256348647177,0.03415203337648354,0.7545995060354471,0.14596389763434628,0.2454004877169306,0.14596389668537865,-0.016257394105196,0.1593110785861471
cifar10,reconstruction,pruned_toric_PJ,normalized,reflect_padding,48,-1.0175561955538814e-10,7.200006582517353e-10,0.06666666641831398,3.725290298461914e-09,0.9999999764064947,4.1687017509327625e-08,0.6262187299629053,0.17441525873804795,0.5441078947236141,0.1421422575292286,0.04732000730776539,0.009510516739271701,1.5067883543670177,0.2282706079761261,0.039434709741423525,0.008515801960455021,0.20671798684634268,0.1572669501942041,0.7932820158700148,0.15726696191933634,0.7932820171117783,0.15726695353908948,9.366125356033575e-17,1.8329676854467704e-16,0.640833885098497,0.0812849640439897,0.4903973226125042,0.13322832043522267,0.5893902747581402,0.1014226891214888,0.7932820077985525,0.1572669566782114,0.7097065175573031,0.10028385978085586,0.21840092508743206,0.07241064485565045,0.07189256348647177,0.03415203337648354,0.7545995060354471,0.14596389763434628,0.2454004877169306,0.14596389668537865,-0.016257394105196,0.1593110785861471
