dataset,task,basis,seed,layer,head,rank,omega_x,omega_y,power,mass,phase
cifar10,reconstruction,axis_additive,426,0,0,1,0.0,0.41887906193733215,3.912733554840088,0.260403573513031,2.9224486351013184
cifar10,reconstruction,axis_additive,426,0,0,2,0.0,-0.41887906193733215,3.912733554840088,0.260403573513031,-2.9224486351013184
cifar10,reconstruction,axis_additive,426,0,0,3,-0.8377581238746643,0.0,2.0081019401550293,0.13364490866661072,-2.0511701107025146
cifar10,reconstruction,axis_additive,426,0,0,4,0.8377581238746643,0.0,2.0081019401550293,0.13364490866661072,2.0511701107025146
cifar10,reconstruction,axis_additive,426,0,0,5,0.0,0.8377581238746643,1.1479741334915161,0.07640095055103302,-0.34457916021347046
cifar10,reconstruction,axis_additive,426,0,0,6,0.0,-0.8377581238746643,1.1479741334915161,0.07640095055103302,0.34457916021347046
cifar10,reconstruction,axis_additive,426,0,0,7,0.0,1.2566372156143188,0.1626483052968979,0.010824708268046379,-0.3729502558708191
cifar10,reconstruction,axis_additive,426,0,0,8,0.0,-1.2566372156143188,0.1626483052968979,0.010824708268046379,0.3729502558708191
cifar10,reconstruction,axis_additive,426,0,1,1,-0.8377581238746643,0.0,5.826291084289551,0.36215874552726746,0.15930891036987305
cifar10,reconstruction,axis_additive,426,0,1,2,0.8377581238746643,0.0,5.826291084289551,0.36215874552726746,-0.15930891036987305
cifar10,reconstruction,axis_additive,426,0,1,3,0.0,0.41887906193733215,1.3433233499526978,0.08350017666816711,-2.477055072784424
cifar10,reconstruction,axis_additive,426,0,1,4,0.0,-0.41887906193733215,1.3433233499526978,0.08350017666816711,2.477055072784424
cifar10,reconstruction,axis_additive,426,0,1,5,0.0,-0.8377581238746643,0.4113871157169342,0.02557157725095749,-1.2166359424591064
cifar10,reconstruction,axis_additive,426,0,1,6,0.0,0.8377581238746643,0.4113871157169342,0.02557157725095749,1.2166359424591064
cifar10,reconstruction,axis_additive,426,0,1,7,-0.41887906193733215,0.0,0.21851278841495514,0.013582623563706875,-3.04901385307312
cifar10,reconstruction,axis_additive,426,0,1,8,0.41887906193733215,0.0,0.21851278841495514,0.013582623563706875,3.04901385307312
cifar10,reconstruction,axis_additive,426,0,2,1,-0.8377581238746643,0.0,6.259293556213379,0.23143260180950165,0.1575760692358017
cifar10,reconstruction,axis_additive,426,0,2,2,0.8377581238746643,0.0,6.259293556213379,0.23143260180950165,-0.1575760692358017
cifar10,reconstruction,axis_additive,426,0,2,3,0.0,0.41887906193733215,4.064121723175049,0.1502678096294403,-2.157533884048462
cifar10,reconstruction,axis_additive,426,0,2,4,0.0,-0.41887906193733215,4.064121723175049,0.1502678096294403,2.157533884048462
cifar10,reconstruction,axis_additive,426,0,2,5,0.0,0.8377581238746643,1.9989672899246216,0.07391028851270676,1.5358237028121948
cifar10,reconstruction,axis_additive,426,0,2,6,0.0,-0.8377581238746643,1.9989672899246216,0.07391028851270676,-1.5358237028121948
cifar10,reconstruction,axis_additive,426,0,2,7,0.0,-1.2566372156143188,0.36972928047180176,0.01367045845836401,-1.9086353778839111
cifar10,reconstruction,axis_additive,426,0,2,8,0.0,1.2566372156143188,0.36972928047180176,0.01367045845836401,1.9086353778839111
cifar10,reconstruction,axis_additive,426,0,3,1,0.8377581238746643,0.0,6.679900646209717,0.37258926033973694,-0.1749601662158966
cifar10,reconstruction,axis_additive,426,0,3,2,-0.8377581238746643,0.0,6.679900646209717,0.37258926033973694,0.1749601662158966
cifar10,reconstruction,axis_additive,426,0,3,3,0.0,0.41887906193733215,1.0985698699951172,0.0612756609916687,-2.1290242671966553
cifar10,reconstruction,axis_additive,426,0,3,4,0.0,-0.41887906193733215,1.0985698699951172,0.0612756609916687,2.1290242671966553
cifar10,reconstruction,axis_additive,426,0,3,5,0.0,-0.8377581238746643,0.5599747896194458,0.03123408555984497,-1.5578985214233398
cifar10,reconstruction,axis_additive,426,0,3,6,0.0,0.8377581238746643,0.5599747896194458,0.03123408555984497,1.5578985214233398
cifar10,reconstruction,axis_additive,426,0,3,7,-0.41887906193733215,0.0,0.24690130352973938,0.01377157773822546,-3.039231777191162
cifar10,reconstruction,axis_additive,426,0,3,8,0.41887906193733215,0.0,0.24690130352973938,0.01377157773822546,3.039231777191162
cifar10,reconstruction,axis_additive,426,0,4,1,0.8377581238746643,0.0,6.51841402053833,0.3556278347969055,1.109495997428894
cifar10,reconstruction,axis_additive,426,0,4,2,-0.8377581238746643,0.0,6.51841402053833,0.3556278347969055,-1.109495997428894
cifar10,reconstruction,axis_additive,426,0,4,3,0.0,0.41887906193733215,1.8290855884552002,0.09979018568992615,-2.738917589187622
cifar10,reconstruction,axis_additive,426,0,4,4,0.0,-0.41887906193733215,1.8290855884552002,0.09979018568992615,2.738917589187622
cifar10,reconstruction,axis_additive,426,0,4,5,0.0,-0.8377581238746643,0.3808596432209015,0.02077871933579445,-0.8078668713569641
cifar10,reconstruction,axis_additive,426,0,4,6,0.0,0.8377581238746643,0.3808596432209015,0.02077871933579445,0.8078668713569641
cifar10,reconstruction,axis_additive,426,0,4,7,0.41887906193733215,0.0,0.2181929498910904,0.011904044076800346,-2.5563807487487793
cifar10,reconstruction,axis_additive,426,0,4,8,-0.41887906193733215,0.0,0.2181929498910904,0.011904044076800346,2.5563807487487793
