variant,basis_name,fit_target,feature_budget,num_features,effective_params,bias_mse,table_fit_r2,target_fit_r2,residual_fit_r2,axis_plus_residual_fit_r2,coeff_norm,dataset,task,teacher_basis,teacher_seed,layer,head
axis_lowrank_5,axis_lowrank_5,full_table,5,5,5,0.0006881391205769623,0.34309011697769165,0.34309014935883,nan,nan,0.4496193826198578,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,full_table,5,29,29,0.00019121812440234,0.817459762096405,0.8174597755237241,nan,nan,0.5568456649780273,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_5,full_table,5,5,5,0.0005993081050005989,0.42788976430892944,0.4278898176666659,nan,nan,0.45522257685661316,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_5,full_table,5,6,6,0.0002803730343155622,0.7323509454727173,0.7323509119178921,nan,nan,0.5739460587501526,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_5,full_table,5,5,5,0.0005993081050005989,0.42788976430892944,0.4278898176666659,nan,nan,0.45522257685661316,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,full_table,5,5,5,0.0005960379492543079,0.4310115575790405,0.43101156653783645,nan,nan,0.508320152759552,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,full_table,5,55,55,0.00022487392797217515,0.7853313684463501,0.7853313464965644,nan,nan,2911093.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,full_table,5,33,33,0.00032691991670856285,0.6879163980484009,0.6879164296362263,nan,nan,1167375.125,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_5,full_table,5,5,5,0.0005993081050005989,0.42788976430892944,0.4278898176666659,nan,nan,0.45522257685661316,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R1,table_informed_toric_PJ_R1_5,full_table,5,11,11,0.0003350518878039017,0.680153489112854,0.6801535053118856,nan,nan,1167341.625,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R2,table_informed_toric_PJ_R2_5,full_table,5,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_5,full_table,5,3,3,0.0005993081050005988,0.42788976430892944,0.427889817666666,nan,nan,0.5075958967208862,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_5,full_table,5,11,11,0.0003350518878039017,0.680153489112854,0.6801535053118856,nan,nan,1167341.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_5,full_table,5,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_5,full_table,5,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,full_table,15,5,5,0.0006881391205769623,0.34309011697769165,0.34309014935883,nan,nan,0.4496193826198578,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,full_table,15,29,29,0.00019121812440234,0.817459762096405,0.8174597755237241,nan,nan,0.5568456649780273,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_15,full_table,15,15,15,0.0003231548924651009,0.6915105581283569,0.6915105887814865,nan,nan,0.4917549788951874,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_15,full_table,15,16,16,0.00013508290956316412,0.8710474371910095,0.8710474505926766,nan,nan,0.6017510294914246,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_15,full_table,15,15,15,0.0003954080325660634,0.6225364208221436,0.6225364554226922,nan,nan,0.4801398515701294,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,full_table,15,15,15,0.0008273173469870885,0.21022814512252808,0.210228137609051,nan,nan,0.41297027468681335,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,full_table,15,55,55,0.00022487392797217515,0.7853313684463501,0.7853313464965644,nan,nan,2911093.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,full_table,15,33,33,0.00032691991670856285,0.6879163980484009,0.6879164296362263,nan,nan,1167375.125,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_15,full_table,15,15,15,0.0003231548924651009,0.6915105581283569,0.6915105887814865,nan,nan,0.4917549788951874,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R1,table_informed_toric_PJ_R1_15,full_table,15,11,11,0.0003350518878039017,0.680153489112854,0.6801535053118856,nan,nan,1167341.625,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R2,table_informed_toric_PJ_R2_15,full_table,15,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_15,full_table,15,3,3,0.0005993081050005988,0.42788976430892944,0.427889817666666,nan,nan,0.5075958967208862,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_15,full_table,15,11,11,0.0003350518878039017,0.680153489112854,0.6801535053118856,nan,nan,1167341.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_15,full_table,15,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_15,full_table,15,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,full_table,33,5,5,0.0006881391205769623,0.34309011697769165,0.34309014935883,nan,nan,0.4496193826198578,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,full_table,33,29,29,0.00019121812440234,0.817459762096405,0.8174597755237241,nan,nan,0.5568456649780273,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_33,full_table,33,33,33,0.00022140232172235123,0.7886453866958618,0.7886454036034249,nan,nan,0.49974197149276733,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_33,full_table,33,34,34,6.1663139929014e-05,0.9411352872848511,0.9411352692652157,nan,nan,0.6153241395950317,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_33,full_table,33,33,33,0.00034344412182958775,0.6721421480178833,0.6721421293625908,nan,nan,0.4858110249042511,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,full_table,33,33,33,0.0007139474673751958,0.31845301389694214,0.3184530422193488,nan,nan,0.47842666506767273,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,full_table,33,55,55,0.00022487392797217515,0.7853313684463501,0.7853313464965644,nan,nan,2911093.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,full_table,33,33,33,0.00032691991670856285,0.6879163980484009,0.6879164296362263,nan,nan,1167375.125,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_33,full_table,33,33,33,0.00022140232172235123,0.7886453866958618,0.7886454036034249,nan,nan,0.49974197149276733,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R1,table_informed_toric_PJ_R1_33,full_table,33,31,31,0.0002433804366531198,0.7676646709442139,0.7676647039675132,nan,nan,1308920.125,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R2,table_informed_toric_PJ_R2_33,full_table,33,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_33,full_table,33,5,5,0.0005993081050005989,0.42788976430892944,0.4278898176666659,nan,nan,0.45522257685661316,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_33,full_table,33,11,11,0.0003350518878039017,0.680153489112854,0.6801535053118856,nan,nan,1167341.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_33,full_table,33,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_33,full_table,33,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,full_table,55,5,5,0.0006881391205769623,0.34309011697769165,0.34309014935883,nan,nan,0.4496193826198578,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,full_table,55,29,29,0.00019121812440234,0.817459762096405,0.8174597755237241,nan,nan,0.5568456649780273,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_55,full_table,55,55,55,0.00013965103595268627,0.8666866421699524,0.8666866358467645,nan,nan,0.5097983479499817,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_55,full_table,55,56,56,2.805854938975484e-05,0.9732148051261902,0.9732148094219993,nan,nan,0.6214377284049988,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_55,full_table,55,55,55,0.0002457231215161641,0.7654283046722412,0.7654283353067816,nan,nan,0.4971975088119507,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,full_table,55,55,55,0.0009194448151433921,0.12228161096572876,0.12228161700466411,nan,nan,0.41736099123954773,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,full_table,55,55,55,0.00022487392797217515,0.7853313684463501,0.7853313464965644,nan,nan,2911093.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,full_table,55,33,33,0.00032691991670856285,0.6879163980484009,0.6879164296362263,nan,nan,1167375.125,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_55,full_table,55,55,55,0.00013965103595268627,0.8666866421699524,0.8666866358467645,nan,nan,0.5097983479499817,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R1,table_informed_toric_PJ_R1_55,full_table,55,51,51,0.00017575818674442418,0.8322181105613708,0.8322181071373493,nan,nan,1236290.75,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R2,table_informed_toric_PJ_R2_55,full_table,55,55,55,0.0002126116578771442,0.7970371246337891,0.7970371277488999,nan,nan,727235.8125,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_55,full_table,55,27,27,0.0002443237716466483,0.7667641639709473,0.7667641795950814,nan,nan,0.49991899728775024,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_55,full_table,55,21,21,0.0003350518877862569,0.680153489112854,0.6801535053287296,nan,nan,825435.125,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_55,full_table,55,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_55,full_table,55,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,full_table,110,5,5,0.0006881391205769623,0.34309011697769165,0.34309014935883,nan,nan,0.4496193826198578,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,full_table,110,29,29,0.00019121812440234,0.817459762096405,0.8174597755237241,nan,nan,0.5568456649780273,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_110,full_table,110,109,109,7.932412735835238e-05,0.9242757558822632,0.924275776369862,nan,nan,0.5154860019683838,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_110,full_table,110,111,111,4.937839483208004e-06,0.995286226272583,0.9952862505554333,nan,nan,0.6256093382835388,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_110,full_table,110,109,109,0.00021336939434381418,0.7963137626647949,0.7963137790331225,nan,nan,0.5006452798843384,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,full_table,110,109,109,0.00013007765193621265,0.8758255243301392,0.8758255585970355,nan,nan,0.5660101175308228,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,full_table,110,55,55,0.00022487392797217515,0.7853313684463501,0.7853313464965644,nan,nan,2911093.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,full_table,110,33,33,0.00032691991670856285,0.6879163980484009,0.6879164296362263,nan,nan,1167375.125,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_110,full_table,110,109,109,7.932412735835238e-05,0.9242757558822632,0.924275776369862,nan,nan,0.5154860019683838,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R1,table_informed_toric_PJ_R1_110,full_table,110,101,101,0.00016845944437387137,0.8391855955123901,0.8391856164928533,nan,nan,1257954.125,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R2,table_informed_toric_PJ_R2_110,full_table,110,109,109,0.00011925408852808851,0.8861579298973083,0.886157924842795,nan,nan,795395.375,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_110,full_table,110,81,81,0.0001018302563660467,0.9027910232543945,0.9027910250995672,nan,nan,0.5130243301391602,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_110,full_table,110,81,81,0.00017386989610853918,0.834020733833313,0.8340207029824254,nan,nan,1123131.125,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_110,full_table,110,73,73,0.00021209784157508603,0.7975276112556458,0.7975276259347305,nan,nan,674754.5,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_110,full_table,110,73,73,0.00021209784157508603,0.7975276112556458,0.7975276259347305,nan,nan,674754.5,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,full_table,225,5,5,0.0006881391205769623,0.34309011697769165,0.34309014935883,nan,nan,0.4496193826198578,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,full_table,225,29,29,0.00019121812440234,0.817459762096405,0.8174597755237241,nan,nan,0.5568456649780273,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_225,full_table,225,225,225,2.9941213683730737e-05,0.9714176058769226,0.9714175845830362,nan,nan,0.5208467841148376,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_225,full_table,225,226,226,1.1254935022180334e-32,1.0,1.0,nan,nan,0.5604436993598938,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_225,full_table,225,225,225,0.00015308556594217451,0.8538618087768555,0.8538617944376181,nan,nan,0.5073733329772949,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,full_table,225,225,225,0.0005156321572904727,0.5077683925628662,0.5077683664496947,nan,nan,0.4815877676010132,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,full_table,225,55,55,0.00022487392797217515,0.7853313684463501,0.7853313464965644,nan,nan,2911093.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,full_table,225,33,33,0.00032691991670856285,0.6879163980484009,0.6879164296362263,nan,nan,1167375.125,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_225,full_table,225,225,225,2.9941213683730737e-05,0.9714176058769226,0.9714175845830362,nan,nan,0.5208467841148376,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R1,table_informed_toric_PJ_R1_225,full_table,225,221,221,8.545461276430106e-05,0.9184235334396362,0.918423505903095,nan,nan,1189105.375,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R2,table_informed_toric_PJ_R2_225,full_table,225,217,217,0.0001035947632270018,0.901106595993042,0.9011065954488979,nan,nan,907899.375,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_225,full_table,225,197,197,3.830460876287852e-05,0.9634337425231934,0.9634337388053252,nan,nan,0.5199427604675293,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_225,full_table,225,191,191,0.0001106819373599983,0.8943410515785217,0.8943410528980381,nan,nan,1382046.375,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_225,full_table,225,181,181,0.00010788668392804825,0.8970094323158264,0.8970094515685672,nan,nan,873050.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_225,full_table,225,181,181,0.00010788668392804825,0.8970094323158264,0.8970094515685672,nan,nan,873050.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,oblique_residual,5,5,5,0.00019121812340507316,-0.6652694940567017,2.886579864025407e-15,0.0,nan,6.426964205274999e-08,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,oblique_residual,5,29,29,0.00019121812340506606,-0.6652694940567017,3.9968028886505635e-14,-1.1920928955078125e-07,nan,6.487121595455392e-08,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_5,oblique_residual,5,5,5,0.00016672383610665429,-0.6418870687484741,0.1280960552391317,0.12809598445892334,nan,0.0524938739836216,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_5,oblique_residual,5,6,6,0.00010484011682508438,-0.5828115940093994,0.45172499887475315,0.4517250061035156,nan,0.1394096463918686,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_5,oblique_residual,5,5,5,0.00018815240902813577,-0.6623431444168091,0.016032551320690258,0.01603245735168457,nan,0.018571283668279648,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,oblique_residual,5,5,5,0.000169562990465883,-0.6445972919464111,0.11324832894273718,0.11324846744537354,nan,0.06980260461568832,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,oblique_residual,5,55,55,8.090140402352774e-05,-0.5631095170974731,0.5769156051586837,0.5769156217575073,nan,1087937.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,oblique_residual,5,33,33,0.0001110104572267524,-0.5366796255111694,0.4194564027197911,0.4194563627243042,nan,438120.0,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_5,oblique_residual,5,5,5,0.00016672383610665429,-0.6418870687484741,0.1280960552391317,0.12809598445892334,nan,0.0524938739836216,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R1,table_informed_toric_PJ_R1_5,oblique_residual,5,11,11,0.00015924357701976296,-0.6387213468551636,0.16721504121016983,0.16721504926681519,nan,545155.5,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R2,table_informed_toric_PJ_R2_5,oblique_residual,5,19,19,0.00012801796024458642,-0.5659745931625366,0.3305134577992117,0.33051347732543945,nan,416350.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_5,oblique_residual,5,3,3,0.00016672383610665429,-0.6418870687484741,0.1280960552391317,0.12809598445892334,nan,0.07423754781484604,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_5,oblique_residual,5,11,11,0.00015924357701976296,-0.6387213468551636,0.16721504121016983,0.16721504926681519,nan,545155.5,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_5,oblique_residual,5,19,19,0.00012801796024458642,-0.5659745931625366,0.3305134577992117,0.33051347732543945,nan,416350.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_5,oblique_residual,5,19,19,0.00012801796024458642,-0.5659745931625366,0.3305134577992117,0.33051347732543945,nan,416350.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,oblique_residual,15,5,5,0.00019121812340507316,-0.6652694940567017,2.886579864025407e-15,0.0,nan,6.426964205274999e-08,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,oblique_residual,15,29,29,0.00019121812340506606,-0.6652694940567017,3.9968028886505635e-14,-1.1920928955078125e-07,nan,6.487121595455392e-08,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_15,oblique_residual,15,15,15,0.00012314812464048875,-0.6002888679504395,0.35598089528567567,0.35598087310791016,nan,0.0928071066737175,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_15,oblique_residual,15,16,16,5.863319236379158e-05,-0.5387016534805298,0.6933701088594836,0.6933701038360596,nan,0.17271830141544342,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_15,oblique_residual,15,15,15,0.00016625795418512472,-0.6414422988891602,0.13053244522787055,0.13053244352340698,nan,0.0532466284930706,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,oblique_residual,15,15,15,0.00016523394917754804,-0.6404646635055542,0.13588761234980418,0.13588756322860718,nan,0.05559524521231651,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,oblique_residual,15,55,55,8.090140402352774e-05,-0.5631095170974731,0.5769156051586837,0.5769156217575073,nan,1087937.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,oblique_residual,15,33,33,0.0001110104572267524,-0.5366796255111694,0.4194564027197911,0.4194563627243042,nan,438120.0,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_15,oblique_residual,15,15,15,0.00012314812464048875,-0.6002888679504395,0.35598089528567567,0.35598087310791016,nan,0.0928071066737175,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R1,table_informed_toric_PJ_R1_15,oblique_residual,15,11,11,0.00015924357701976296,-0.6387213468551636,0.16721504121016983,0.16721504926681519,nan,545155.5,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R2,table_informed_toric_PJ_R2_15,oblique_residual,15,19,19,0.00012801796024458642,-0.5659745931625366,0.3305134577992117,0.33051347732543945,nan,416350.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_15,oblique_residual,15,3,3,0.00016672383610665429,-0.6418870687484741,0.1280960552391317,0.12809598445892334,nan,0.07423754781484604,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_15,oblique_residual,15,11,11,0.00015924357701976296,-0.6387213468551636,0.16721504121016983,0.16721504926681519,nan,545155.5,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_15,oblique_residual,15,19,19,0.00012801796024458642,-0.5659745931625366,0.3305134577992117,0.33051347732543945,nan,416350.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_15,oblique_residual,15,19,19,0.00012801796024458642,-0.5659745931625366,0.3305134577992117,0.33051347732543945,nan,416350.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,oblique_residual,33,5,5,0.00019121812340507316,-0.6652694940567017,2.886579864025407e-15,0.0,nan,6.426964205274999e-08,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,oblique_residual,33,29,29,0.00019121812340506606,-0.6652694940567017,3.9968028886505635e-14,-1.1920928955078125e-07,nan,6.487121595455392e-08,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_33,oblique_residual,33,33,33,9.802720791752933e-05,-0.5763077735900879,0.4873539904485418,0.48735398054122925,nan,0.10239127278327942,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_33,oblique_residual,33,34,34,2.818141884032571e-05,-0.5096317529678345,0.8526216117045213,0.8526216149330139,nan,0.19152873754501343,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_33,oblique_residual,33,33,33,0.00016367501744466272,-0.6389764547348022,0.14404024822513328,0.14404016733169556,nan,0.055665045976638794,cifar10,reconstruction,relative_2d_table,477,0,0
