variant,basis_name,fit_target,feature_budget,num_features,effective_params,bias_mse,table_fit_r2,target_fit_r2,residual_fit_r2,axis_plus_residual_fit_r2,coeff_norm,dataset,task,teacher_basis,teacher_seed,layer,head
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,full_table,5,5,5,0.0005960379492543079,0.4310115575790405,0.43101156653783645,nan,nan,0.508320152759552,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,full_table,15,15,15,0.0008273173469870885,0.21022814512252808,0.210228137609051,nan,nan,0.41297027468681335,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,full_table,33,33,33,0.0007139474673751958,0.31845301389694214,0.3184530422193488,nan,nan,0.47842666506767273,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,full_table,55,55,55,0.0009194448151433921,0.12228161096572876,0.12228161700466411,nan,nan,0.41736099123954773,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,full_table,110,109,109,0.00013007765193621265,0.8758255243301392,0.8758255585970355,nan,nan,0.5660101175308228,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,full_table,225,225,225,0.0005156321572904727,0.5077683925628662,0.5077683664496947,nan,nan,0.4815877676010132,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,oblique_residual,5,5,5,0.000169562990465883,-0.6445972919464111,0.11324832894273718,0.11324846744537354,nan,0.06980260461568832,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,oblique_residual,15,15,15,0.00016523394917754804,-0.6404646635055542,0.13588761234980418,0.13588756322860718,nan,0.05559524521231651,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_33,oblique_residual,33,33,33,0.00012584818436013728,-0.6028660535812378,0.3418605824640256,0.3418605923652649,nan,0.1074419617652893,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_55,oblique_residual,55,55,55,0.00013591815386540743,-0.6124793291091919,0.28919836966770984,0.28919827938079834,nan,0.10854282230138779,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_110,oblique_residual,110,109,109,8.072055215332747e-05,-0.5597864389419556,0.5778613934918175,0.5778613090515137,nan,0.13703034818172455,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_225,oblique_residual,225,225,225,4.6137938374606306e-05,-0.52677321434021,0.758715661711268,0.7587156295776367,nan,0.15934406220912933,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,axis_plus_residual,5,5,5,0.000169562990465883,0.8381321430206299,0.11324832894273718,0.11324846744537354,0.8381321430206299,0.06980260461568832,cifar10,reconstruction,relative_2d_table,477,0,0
