variant,basis_name,fit_target,feature_budget,num_features,effective_params,bias_mse,table_fit_r2,target_fit_r2,residual_fit_r2,axis_plus_residual_fit_r2,coeff_norm,dataset,task,teacher_basis,teacher_seed,layer,head
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_5,full_table,5,3,3,0.0005993081050005988,0.42788976430892944,0.427889817666666,nan,nan,0.5075958967208862,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_5,full_table,5,11,11,0.0003350518878039017,0.680153489112854,0.6801535053118856,nan,nan,1167341.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_5,full_table,5,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_5,full_table,5,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_15,full_table,15,3,3,0.0005993081050005988,0.42788976430892944,0.427889817666666,nan,nan,0.5075958967208862,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_15,full_table,15,11,11,0.0003350518878039017,0.680153489112854,0.6801535053118856,nan,nan,1167341.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_15,full_table,15,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_15,full_table,15,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_33,full_table,33,5,5,0.0005993081050005989,0.42788976430892944,0.4278898176666659,nan,nan,0.45522257685661316,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_33,full_table,33,11,11,0.0003350518878039017,0.680153489112854,0.6801535053118856,nan,nan,1167341.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_33,full_table,33,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_33,full_table,33,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_55,full_table,55,27,27,0.0002443237716466483,0.7667641639709473,0.7667641795950814,nan,nan,0.49991899728775024,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_55,full_table,55,21,21,0.0003350518877862569,0.680153489112854,0.6801535053287296,nan,nan,825435.125,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_55,full_table,55,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_55,full_table,55,19,19,0.00024817594638072645,0.7630868554115295,0.7630868250405469,nan,nan,1180548.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_110,full_table,110,81,81,0.0001018302563660467,0.9027910232543945,0.9027910250995672,nan,nan,0.5130243301391602,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_110,full_table,110,81,81,0.00017386989610853918,0.834020733833313,0.8340207029824254,nan,nan,1123131.125,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_110,full_table,110,73,73,0.00021209784157508603,0.7975276112556458,0.7975276259347305,nan,nan,674754.5,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_110,full_table,110,73,73,0.00021209784157508603,0.7975276112556458,0.7975276259347305,nan,nan,674754.5,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_225,full_table,225,197,197,3.830460876287852e-05,0.9634337425231934,0.9634337388053252,nan,nan,0.5199427604675293,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_225,full_table,225,191,191,0.0001106819373599983,0.8943410515785217,0.8943410528980381,nan,nan,1382046.375,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_225,full_table,225,181,181,0.00010788668392804825,0.8970094323158264,0.8970094515685672,nan,nan,873050.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_225,full_table,225,181,181,0.00010788668392804825,0.8970094323158264,0.8970094515685672,nan,nan,873050.75,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,oblique_residual,5,5,5,0.00019121812340507316,-0.6652694940567017,2.886579864025407e-15,0.0,nan,6.426964205274999e-08,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,oblique_residual,5,29,29,0.00019121812340506606,-0.6652694940567017,3.9968028886505635e-14,-1.1920928955078125e-07,nan,6.487121595455392e-08,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_5,oblique_residual,5,5,5,0.00016672383610665429,-0.6418870687484741,0.1280960552391317,0.12809598445892334,nan,0.0524938739836216,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_5,oblique_residual,5,6,6,0.00010484011682508438,-0.5828115940093994,0.45172499887475315,0.4517250061035156,nan,0.1394096463918686,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_5,oblique_residual,5,5,5,0.00018815240902813577,-0.6623431444168091,0.016032551320690258,0.01603245735168457,nan,0.018571283668279648,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_5,oblique_residual,5,5,5,0.000169562990465883,-0.6445972919464111,0.11324832894273718,0.11324846744537354,nan,0.06980260461568832,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,oblique_residual,5,55,55,8.090140402352774e-05,-0.5631095170974731,0.5769156051586837,0.5769156217575073,nan,1087937.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,oblique_residual,5,33,33,0.0001110104572267524,-0.5366796255111694,0.4194564027197911,0.4194563627243042,nan,438120.0,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_5,oblique_residual,5,5,5,0.00016672383610665429,-0.6418870687484741,0.1280960552391317,0.12809598445892334,nan,0.0524938739836216,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R1,table_informed_toric_PJ_R1_5,oblique_residual,5,11,11,0.00015924357701976296,-0.6387213468551636,0.16721504121016983,0.16721504926681519,nan,545155.5,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R2,table_informed_toric_PJ_R2_5,oblique_residual,5,19,19,0.00012801796024458642,-0.5659745931625366,0.3305134577992117,0.33051347732543945,nan,416350.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R0,axis_plus_toric_residual_R0_5,oblique_residual,5,3,3,0.00016672383610665429,-0.6418870687484741,0.1280960552391317,0.12809598445892334,nan,0.07423754781484604,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R1,axis_plus_toric_residual_R1_5,oblique_residual,5,11,11,0.00015924357701976296,-0.6387213468551636,0.16721504121016983,0.16721504926681519,nan,545155.5,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_toric_residual_R2,axis_plus_toric_residual_R2_5,oblique_residual,5,19,19,0.00012801796024458642,-0.5659745931625366,0.3305134577992117,0.33051347732543945,nan,416350.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_plus_lc_toric_residual,axis_plus_lc_toric_residual_5,oblique_residual,5,19,19,0.00012801796024458642,-0.5659745931625366,0.3305134577992117,0.33051347732543945,nan,416350.625,cifar10,reconstruction,relative_2d_table,477,0,0
axis_lowrank_5,axis_lowrank_5,oblique_residual,15,5,5,0.00019121812340507316,-0.6652694940567017,2.886579864025407e-15,0.0,nan,6.426964205274999e-08,cifar10,reconstruction,relative_2d_table,477,0,0
axis_full_29,axis_full_29,oblique_residual,15,29,29,0.00019121812340506606,-0.6652694940567017,3.9968028886505635e-14,-1.1920928955078125e-07,nan,6.487121595455392e-08,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dft,topk_dft_15,oblique_residual,15,15,15,0.00012314812464048875,-0.6002888679504395,0.35598089528567567,0.35598087310791016,nan,0.0928071066737175,cifar10,reconstruction,relative_2d_table,477,0,0
topk_dct,topk_dct_15,oblique_residual,15,16,16,5.863319236379158e-05,-0.5387016534805298,0.6933701088594836,0.6933701038360596,nan,0.17271830141544342,cifar10,reconstruction,relative_2d_table,477,0,0
windowed_topk_dft,windowed_topk_dft_15,oblique_residual,15,15,15,0.00016625795418512472,-0.6414422988891602,0.13053244522787055,0.13053244352340698,nan,0.0532466284930706,cifar10,reconstruction,relative_2d_table,477,0,0
random_spectral_atoms_matched_radius,random_spectral_atoms_matched_radius_15,oblique_residual,15,15,15,0.00016523394917754804,-0.6404646635055542,0.13588761234980418,0.13588756322860718,nan,0.05559524521231651,cifar10,reconstruction,relative_2d_table,477,0,0
fixed_toric_PJ_R2,fixed_toric_PJ_R2,oblique_residual,15,55,55,8.090140402352774e-05,-0.5631095170974731,0.5769156051586837,0.5769156217575073,nan,1087937.25,cifar10,reconstruction,relative_2d_table,477,0,0
pruned_toric_PJ,pruned_toric_PJ,oblique_residual,15,33,33,0.0001110104572267524,-0.5366796255111694,0.4194564027197911,0.4194563627243042,nan,438120.0,cifar10,reconstruction,relative_2d_table,477,0,0
table_informed_toric_PJ_R0,table_informed_toric_PJ_R0_15,oblique_residual,15,15,15,0.00012314812464048875,-0.6002888679504395,0.35598089528567567,0.35598087310791016,nan,0.0928071066737175,cifar10,reconstruction,relative_2d_table,477,0,0
