model,seed,full,zero,condition,score,effect_type,effect,gain_vs_zero,source
Toric/PJ,626,0.8279,0.2790,L0 ablate r<=4,0.6895,drop,0.1384,0.4105,results/v8_component_eval_tinyimagenet_toric_pj_top220_seed626_layer_l0_l3_10k/component_interventions.csv
Toric/PJ,626,0.8279,0.2790,L0 keep r<=4,0.7524,gap,0.0755,0.4734,results/v8_component_eval_tinyimagenet_toric_pj_top220_seed626_layer_l0_l3_10k/component_interventions.csv
Toric/PJ,626,0.8279,0.2790,L0+L1 ablate r<=4,0.6432,drop,0.1847,0.3643,results/v8_component_eval_tinyimagenet_toric_pj_top220_seed626_l0_l3_pool_10k/component_interventions.csv
Toric/PJ,626,0.8279,0.2790,L0+L1 keep r<=4,0.7977,gap,0.0301,0.5188,results/v8_component_eval_tinyimagenet_toric_pj_top220_seed626_l0_l3_pool_10k/component_interventions.csv
Toric/PJ,626,0.8279,0.2790,L0-L3 ablate r<=4,0.3037,drop,0.5241,0.0248,results/v8_component_eval_tinyimagenet_toric_pj_top220_seed626_l0_l3_pool_10k/component_interventions.csv
Toric/PJ,626,0.8279,0.2790,L0-L3 keep r<=4,0.8475,gap,-0.0197,0.5686,results/v8_component_eval_tinyimagenet_toric_pj_top220_seed626_l0_l3_pool_10k/component_interventions.csv
Toric/PJ,626,0.8279,0.2790,L0H4+H6 ablate r<=4,0.6639,drop,0.1640,0.3849,results/v8_component_eval_tinyimagenet_toric_pj_top220_seed626_top_heads_10k/component_interventions.csv
Toric/PJ,626,0.8279,0.2790,L0H4+H6 keep r<=4,0.7101,gap,0.1178,0.4311,results/v8_component_eval_tinyimagenet_toric_pj_top220_seed626_top_heads_10k/component_interventions.csv
Mixed r4,626,0.8521,0.2484,L1 ablate r<=4,0.7535,drop,0.0986,0.5051,results/v8_component_eval_tinyimagenet_mixed_residual_dct32_trainradial_r4_seed626_layer_l0_l3_10k/component_interventions.csv
Mixed r4,626,0.8521,0.2484,L1 keep r<=4,0.7267,gap,0.1254,0.4783,results/v8_component_eval_tinyimagenet_mixed_residual_dct32_trainradial_r4_seed626_layer_l0_l3_10k/component_interventions.csv
Mixed r4,626,0.8521,0.2484,L0+L1 ablate r<=4,0.6616,drop,0.1904,0.4132,results/v8_component_eval_tinyimagenet_mixed_residual_dct32_trainradial_r4_seed626_l0_l3_pool_10k/component_interventions.csv
Mixed r4,626,0.8521,0.2484,L0+L1 keep r<=4,0.8175,gap,0.0346,0.5691,results/v8_component_eval_tinyimagenet_mixed_residual_dct32_trainradial_r4_seed626_l0_l3_pool_10k/component_interventions.csv
Mixed r4,626,0.8521,0.2484,L0-L3 ablate r<=4,0.2698,drop,0.5823,0.0214,results/v8_component_eval_tinyimagenet_mixed_residual_dct32_trainradial_r4_seed626_l0_l3_pool_10k/component_interventions.csv
Mixed r4,626,0.8521,0.2484,L0-L3 keep r<=4,0.8665,gap,-0.0144,0.6181,results/v8_component_eval_tinyimagenet_mixed_residual_dct32_trainradial_r4_seed626_l0_l3_pool_10k/component_interventions.csv
Mixed r4,626,0.8521,0.2484,L1H2+H7+H0 ablate r<=4,0.7600,drop,0.0921,0.5116,results/v8_component_eval_tinyimagenet_mixed_residual_dct32_trainradial_r4_seed626_top_heads_10k/component_interventions.csv
Mixed r4,626,0.8521,0.2484,L1H2+H7+H0 keep r<=4,0.7127,gap,0.1394,0.4643,results/v8_component_eval_tinyimagenet_mixed_residual_dct32_trainradial_r4_seed626_top_heads_10k/component_interventions.csv
